Tool, Category
TAMR, Data query and retrieval
Bert, Data query and retrieval
Termite, Data query and retrieval
Oracle clinical, Data query and retrieval
GeoBoost2, Data query and retrieval
MartView, Data query and retrieval
CLOBNET, Data query and retrieval
PDBUSQLExtractor, Data query and retrieval
repo, Data query and retrieval
SNPator, Data query and retrieval
PyGMQL, Data query and retrieval
PlantPIs, Data query and retrieval
BAGET, Data query and retrieval
NCBI Resources, Data query and retrieval
CPAD, Data query and retrieval
SDTM, Data Transformation
TriFacta, Data Transformation
OMOP, Data Transformation
Collibra, Data Transformation
Apache Hadoop, Data Transformation
Talend, Data Transformation
Informatica, Data Transformation
OpenRefine-metadata-extension, Data Transformation
DISQOVER, Data Transformation
Query Tabular, Data Transformation
ms-data-core-api, Data Transformation
REDCap, Data Deposition
TransMART, Data Deposition
Stardog, Data Deposition
Postgresql, Data Deposition
Chemotion, Data Deposition
ZOOMA, Ontology Annotation
NCBI BioPortal Annotator, Ontology Annotation
BioBert, Ontology Annotation
Termite, Ontology Annotation
PoolParty Semantic Suite, Ontology Annotation
OntoMaton, Ontology Annotation
Prodigy, Ontology Annotation
OntoText, Ontology Annotation
OxO, Ontology Mapping
AberOWL, Ontology Management
BioPortal, Ontology Management
Centree Ontology Manager, Ontology Management
OLS, Ontology Management
Ontobee, Ontology Management
PoolParty, Ontology Management
eNanoMapper Slimmer,Ontology engineering
OWLAPI,Ontology engineering
Protégé,Ontology engineering
ROBOT,Ontology engineering
TopBraid Composer,Ontology engineering
VocBench,Ontology engineering
