keyword,iri,label,confidence
Provenance,http://edamontology.org/data_2337,Resource metadata,MEDIUM
Provenance,http://edamontology.org/topic_0219,"Data submission, annotation and curation",MEDIUM
Documentation,http://edamontology.org/topic_3068,Literature and language,GOOD
Data structure,http://edamontology.org/data_0883,Structure,MEDIUM
Data structure,http://edamontology.org/data_2537,Protein structure raw data,MEDIUM
Workflow management,http://edamontology.org/data_0949,Workflow metadata,MEDIUM
Workflow management,http://edamontology.org/data_1083,Workflow ID,MEDIUM
Extraction:,http://edamontology.org/operation_3937,Feature extraction,MEDIUM
Extraction:,http://edamontology.org/operation_3907,Information extraction,MEDIUM
Data querying,http://edamontology.org/data_0006,Data,GOOD
Database management,http://edamontology.org/topic_3489,Database management,GOOD
Data import,http://edamontology.org/data_0006,Data,GOOD
File reader,http://edamontology.org/operation_3359,Splitting,MEDIUM
File reader,http://edamontology.org/operation_0335,Formatting,MEDIUM
read/load metadata,http://edamontology.org/data_2337,Resource metadata,MEDIUM
read/load metadata,http://edamontology.org/data_0967,Ontology concept data,MEDIUM
Data cleaning,http://edamontology.org/topic_3572,Data quality management,GOOD
Data validation,http://edamontology.org/operation_2428,Validation,MEDIUM
Data validation,http://edamontology.org/operation_0321,Protein structure validation,MEDIUM
Data harmonisation,http://edamontology.org/data_0006,Data,GOOD
Field mapping,http://edamontology.org/topic_0102,Mapping,GOOD
Formatting,http://edamontology.org/operation_0335,Formatting,GOOD
Conversion,http://edamontology.org/operation_3434,Conversion,GOOD
Loading,http://edamontology.org/operation_1812,Parsing,GOOD
Data packaging,http://edamontology.org/topic_3176,DNA packaging,MEDIUM
Data packaging,http://edamontology.org/data_0006,Data,MEDIUM
Identifier generation,http://edamontology.org/data_0842,Identifier,GOOD
Data transfer,http://edamontology.org/data_0006,Data,GOOD
Data warehouse,http://edamontology.org/data_0006,Data,GOOD
Data validation,http://edamontology.org/operation_2428,Validation,MEDIUM
Data validation,http://edamontology.org/operation_0321,Protein structure validation,MEDIUM
