keyword,iri,label,confidence
Ontology annotation,http://edamontology.org/operation_0226,Annotation,MEDIUM
Ontology annotation,,,
semantic annotation,,,
semantic annotation,http://edamontology.org/operation_3778,Text annotation,MEDIUM
Text mining,http://edamontology.org/topic_0218,Natural language processing,GOOD
Entity tagging,,,
Entity recognition,,,
Query expansion,,,
Query expansion,,,
Knowledge graph,,,
Knowledge graph,,,
Module extraction (eg slims),,,
Module extraction (eg slims),,,
Free text mapping,,,
Machine learning,http://edamontology.org/topic_3474,Machine learning,GOOD
NLP,http://edamontology.org/topic_0218,Natural language processing,GOOD
