FAIRification process,Tool,Description,Website,License,ResourceType,Type,Source,Confidence,Notes,,,,,,,,,,,,
,,,,if available,"what type this resource is. 
Select from this list [software, vocabulary, database, package]",“commercial” or “others”,"how this tool was discovered
“manual” or “bio.tools”",For auto-discovered tools.,,,,,,,,,,,,,
ETL,Bert,Bidirectional Encoder Representations from Transformers (BERT) is a Transformer-based machine learning technique for natural language processing (NLP) pre-training developed by Google. ,https://en.wikipedia.org/wiki/BERT_(language_model),,model,,,,,,,,,,,,,,,,
ETL,Collibra,Collibra Data Catalog empowers business users to quickly discover and understand data that matters so they can generate impactful insights that drive business value. Collibra Data Lineage: Collibra Data Lineage automatically maps relationships between data to show how data flows from system to system and how data sets are built, aggregated, end-to-end lineage visualization. Operationalizing data privacy, CCPA and GDPR compliance, Collibra delivers privacy from a Data Intelligent foundation that centralizes, automates and guides privacy workflows. Collibra Data Governance helps organizations understand their ever-growing amounts of data in a way that scales with growth and change,https://www.collibra.com/,Collibra,data catalog, schema validation, governance, entity versioning,NA,software,,,,schema validation, cataloging, and data governance entity versiong
ETL,Dublin Core,The Dublin Core Metadata Initiative or DCMI is an organization supporting innovation in metadata design and best practices across the metadata ecology. DCMI works openly and it supported by a paid-membership model. DCMI's activities include: work on architecture and modelling,https://dublincore.org/,,vocabulary,,,,,,,,,,,,,,,,
ETL,Hadoop,a framework that allows for the distributed processing of large data sets across clusters of computers using simple programming models. It is designed to scale up from single servers to thousands of machines, each offering local computation and storage. Rather than rely on hardware to deliver high-availability, each of which may be prone to failures.,https://hadoop.apache.org/,Hadoop,distributed computing,,software,,,,,,,,,,,,
ETL,Informatica,Informatica is the only Enterprise Cloud Data Management leader that accelerates data-driven digital transformation. Informatica enables companies to fuel innovation become more agile and realize new growth opportunities resulting in intelligent market disruptions,https://www.informatica.com/gb/about-us.html, cloud migration,,software,,,,,,,,,,,,,,,
ETL,OMOP,The OMOP Common Data Model allows for the systematic analysis of disparate observational databases. The concept behind this approach is to transform data contained within those databases into a common format (data model) as well as a common representation (terminologies vocabularies coding schemes) and then perform systematic analyses using a library of standard analytic routines that have been written based on the common format,https://www.ohdsi.org/data-standardization/the-common-data-model/, vocabularies, coding schemes), and then perform systematic analyses using a library of standard analytic routines that have been written based on the common format.,SNOMED INTERNATIONAL SNOMED CT LICENSE AGREEMENT,data model,,,,,,,,,,,,,
ETL,REDCap,REDCap is a secure web application for building and managing online surveys and databases. While REDCap can be used to collect virtually any type of data in any environment (including compliance with 21 CFR Part 11 FISMA HIPAA and GDPR),https://www.project-redcap.org/,,software,,,,,,,,,,,,,,,,
ETL,SDTM,SDTM provides a standard for organizing and formatting data to streamline processes in collection management analysis and reporting. Implementing SDTM supports data aggregation and warehousing; fosters mining and reuse; facilitates sharing; helps perform due diligence and other important data review activities; and improves the regulatory review and approval process. SDTM is also used in non-clinical data (SEND) medical devices and pharmacogenomics/genetics studies.,https://www.cdisc.org/standards/foundational/sdtm,,software,,,,,,,,,,,,,,,,
ETL,TAMR,Accelerating Analytic outcomes. The toughest analytics challenges need consolidated cleansed categorized data. Tamr’s data mastering solutions are designed to power timely actionable analytic insightsCloud-Native Master. Data Management (MDM). Tamr’s cloud-native data mastering solutions make it easy to connect internal and external data sources quickly to power analytic insights and drive business outcomes,https://www.tamr.com/,,software,,,,,,,,,,,,,,,,
