Tool,keywords_score,Description,Topics,Type,Citations,URL,bio.tools URL,keyword_rank,citations_rank,Score
fairifier,0.650,"A general-purpose FAIRifier on the basis of the OpenRefine data cleaning and wrangling tool and the RDF plugin. This FAIRifier enables a post-hoc FAIRification workflow: load an existing dataset, perform data wrangling tasks, add FAIR attributes to the data, generate a linked data version of the data and, finally, push the result to an online FAIR data infrastructure to make it accessible and discoverable. Literal values in a dataset can be replaced by identifiers either manually or by embedded, customizable script expressions. The interoperability of the dataset can be improved by connecting these identifiers into a meaningful semantic graph-structure of ontological classes and properties using the integrated RDF model editor. A provenance trail automatically keeps track of each modification and additionally enables “undo” operations and repetition of operations on similar datasets. A FAIR data export function opens up a metadata editor to provide information about the dataset itself.","['Data submission, annotation and curation', 'Data identity and mapping']",['Web application'],0.0,,https://bio.tools/fairifier,4521.0,2330.0,3644.6
geoboost2,0.633,"A natural languageprocessing pipeline for GenBank metadata enrichment for virus phylogeography.

GeoBoost2 (part of the ZoDo project) is a system for extracting the location of infected hosts (LOIH) for a given set of GenBank metadata accessions. This involves API implementations that utilize NCBI API's for accessing and parsing information and delivering it to the researcher interested in investigating a set of sequences. You can also use this tool mine Geographic Locations in scientific articles (available as abstracts on PubMed or PMC-OA) or text files.","['Biotechnology', 'Natural language processing', 'Workflows', 'Public health and epidemiology', 'Infectious disease']",['Web application'],0.0,https://github.com/ZooPhy/geoboost2,https://bio.tools/geoboost2,4520.0,2330.0,3644.0
disqover,0.600,"DISQOVER is a data integration platform for public, licensed and internal data. The Data Ingestion Engine enables transforming data into Linked Data which can be searched, navigated and analysed via the user interface and the API. The publicly accessible DISQOVER platform contains 140+ public data sources in life sciences and related domains.","['Biomedical science', 'Omics', 'Biology', 'Chemistry', 'Medicine']","['Web API', 'Web application', 'Database portal']",0.0,,https://bio.tools/disqover,4519.0,2330.0,3643.4
sigflow,0.600,"an automated and comprehensive pipeline for cancer genome mutational signature analysis.

Sigflow: Streamline Analysis Workflows for Mutational Signatures.

Sigflow provides useful mutational signature analysis workflows. It can auto-extract mutational signatures, fit mutation data to all/specified COSMIC reference signatures (SBS/DBS/INDEL) and run bootstrapping analysis for studying signature stability.","['Genetic variation', 'Oncology', 'Workflows']",[],0.0,,https://bio.tools/sigflow,4519.0,2330.0,3643.4
martview,0.600,Tool for data retrieval and data mining that integrates data from Ensembl. Through the web interface it allows you to apply a series of filters to create custom datasets which can be converted to several useful output formats.,"['Pathology', 'Data integration and warehousing', 'Database management', 'Molecular interactions, pathways and networks', 'Gene transcripts']",['Web application'],320.0,,https://bio.tools/martview,4519.0,4065.0,4337.4
clobnet,0.583,"Open Source Infrastructure for Health Care Data Integration and Machine Learning Analyses | PURPOSE:We have created a cloud-based machine learning system (CLOBNET) that is an open-source, lean infrastructure for electronic health record (EHR) data integration and is capable of extract, transform, and load (ETL) processing. CLOBNET enables comprehensive analysis and visualization of structured EHR data. We demonstrate the utility of CLOBNET by predicting primary therapy outcomes of patients with high-grade serous ovarian cancer (HGSOC) on the basis of EHR data. MATERIALS AND METHODS:CLOBNET is built using open-source software to make data preprocessing, analysis, and model training user friendly. The source code of CLOBNET is available in GitHub","['Machine learning', 'Medicines research and development']",[],3.0,,https://bio.tools/clobnet,4516.0,2628.0,3760.8
pga,0.583,"This package provides functions for construction of customized protein databases based on RNA-Seq data with/without genome guided, database searching, post-processing and report generation. This kind of customized protein database includes both the reference database (such as Refseq or ENSEMBL) and the novel peptide sequences form RNA-Seq data.","['Proteomics', 'Proteomics experiment', 'Data submission, annotation and curation', 'Data integration and warehousing', 'Database management', 'Data governance', 'RNA-seq']","['Command-line tool', 'Library']",22.0,,https://bio.tools/pga,4516.0,3239.0,4005.2
query tabular,0.567,"Query Tabular is a Galaxy-based tool which manipulates tabular files.  Query Tabular automatically creates a SQLite database directly from a tabular file within a Galaxy workflow.  The SQLite database can be saved to the Galaxy history, and further process to generate tabular outputs containing desired information and formatting.","['Bioinformatics', 'Workflows']",['Command-line tool'],0.0,https://toolshed.g2.bx.psu.edu/view/iuc/query_tabular/0c95a3f1654f,https://bio.tools/query tabular,4514.0,2330.0,3640.4
pdbusqlextractor,0.567,Scalable Extraction of Big Macromolecular Data in Azure Data Lake Environment.,['Nucleic acid structure analysis'],['Library'],3.0,,https://bio.tools/pdbusqlextractor,4514.0,2628.0,3759.6000000000004
chemotion,0.567,"Chemotion is a repository for chemistry research data that provides solutions for current challenges to store research data in a feasible manner, allowing the conservation of domain specific information in a machine readable format. A main advantage of the repository Chemotion is the comprehensive functionality, which offers options to collect, prepare and reuse data using discipline specific methods and data processing tools. For selected analytical data, automated procedures are implemented to facilitate the curation of the data. Chemotion provides functions to facilitate the publishing process of data and the citation of the deposited data","['Data submission, annotation and curation', 'Workflows', 'Chemistry']",['Database portal'],0.0,,https://bio.tools/chemotion,4514.0,2330.0,3640.4
repo,0.550,"A data manager meant to avoid manual storage/retrieval of data to/from the file system. It builds one (or more) centralized repository where R objects are stored with rich annotations, including corresponding code chunks, and easily searched and retrieved.","['Data submission, annotation and curation', 'Data management', 'Database management']",['Library'],1.0,,https://bio.tools/repo,4511.0,2456.0,3689.0
ncbi resources,0.550,The National Center for Biotechnology Information (NCBI) provides analysis and retrieval resources for the data in GenBank and other biological data made available through the NCBI web site.,"['Data mining', 'Data integration and warehousing', 'Database management', 'Molecular interactions, pathways and networks', 'Rare diseases']","['Web application', 'Database portal']",1205.0,,https://bio.tools/ncbi resources,4511.0,4388.0,4461.8
plantpis,0.533,"It is a web querying system for a database collecting plant protease inhibitors data. Protease inhibitors in plants are naturally occurring proteins that inhibit the function of endogenous and exogenous proteases. PlantPIs contains information extracted principally from MEROPS database, filtered, annotated and compared with data stored in other protein and gene public databases, using both automated techniques and domain expert evaluations.","['Plant biology', 'Gene and protein families']",['Database portal'],103.0,,https://bio.tools/plantpis,4509.0,3761.0,4209.8
baget,0.533,"BAGET (Bacterial and Archaeal Gene Exploration Tool) is a web service designed to facilitate extraction of specific gene and protein sequences from completely determined prokaryotic genomes. Query results can be exported as a rich text format file for printing, archival or further analysis.","['DNA', 'Sequencing', 'Model organisms', 'Sequence analysis']",['Web application'],14.0,,https://bio.tools/baget,4509.0,3057.0,3928.2
dnemo,0.533,"A tool for quantification of mRNA and punctate structures in time-lapse images of single cells.
ABSTRACT Many biological processes are regulated by single molecules and molecular assemblies within cells that are visible by microscopy as punctate features, often diffraction limited. Here we present detecting-NEMO (dNEMO), a computational tool optimized for accurate and rapid measurement of fluorescent puncta in fixed-cell and time-lapse images. The spot detection algorithm uses the à trous wavelet transform, a computationally inexpensive method that is robust to imaging noise. By combining automated with manual spot curation in the user interface, fluorescent puncta can be carefully selected and measured against their local background to extract high quality single-cell data. Integrated into the workflow are segmentation and spot-inspection tools that enable almost real-time interaction with images without time consuming pre-processing steps.","['Cell biology', 'Imaging', 'Gene transcripts']",[],0.0,,https://bio.tools/dnemo,4509.0,2330.0,3637.4
snpator,0.533,"Our application was originally designed to help CeGen users to handle, retrieve, transform and analyze the genetic data generated by the genotyping facilities of the institution. Hoewever, it is also open to external users who may want to upload their own genotyped data in order to take advantage its data processing features. Users will be able to perform a set of operations which may range from very simple format transformations to some complex biostatistical calculations.","['Bioinformatics', 'Data quality management', 'Genetic variation', 'GWAS study']",['Web application'],53.0,,https://bio.tools/snpator,4509.0,3544.0,4123.0
cpad,0.517,"Curated Protein Aggregation Database (CPAD) is an integrated database which contains information related to amyloidogenic proteins, Aggregation prone regions, aggregation kinetics and structure of proteins relevant to aggregation. Authors are encouraged to deposit any information related to above topics to our server.","['Proteomics', 'Data submission, annotation and curation', 'Proteins', 'Small molecules', 'Literature and language']",['Database portal'],0.0,,https://bio.tools/cpad,4505.0,2330.0,3635.0
pygmql,0.517,"scalable data extraction and analysis for heterogeneous genomic datasets.

Python Library for data analysis based on GMQL.

The doucumentation can be found at the following link: http://pygmql.readthedocs.io.

API for calling interactively the GMQL Engine from Python","['Imaging', 'Workflows', 'Database management']",[],0.0,,https://bio.tools/pygmql,4505.0,2330.0,3635.0
