name	description	type	topic	input	output
thermorawfileparser	Open-source, crossplatform tool that converts Thermo RAW files into open file formats such as MGF and to the HUPO-PSI standard file format mzML	['Command-line tool']	[{'term': 'Proteomics', 'uri': 'http://edamontology.org/topic_0121'}, {'term': 'Proteomics experiment', 'uri': 'http://edamontology.org/topic_3520'}, {'term': 'Metabolomics', 'uri': 'http://edamontology.org/topic_3172'}]	[{'data': {'term': 'mass spectrum', 'uri': 'http://edamontology.org/data_0943'}, 'format': {'term': 'thermo raw', 'uri': 'http://edamontology.org/format_3712'}}]	[{'data': {'term': 'mass spectrum', 'uri': 'http://edamontology.org/data_0943'}, 'format': {'term': 'thermo raw', 'uri': 'http://edamontology.org/format_3712'}}]
procon (proteomics conversion tool)	Conversion tool written in Java for conversion of proteomics identification data into standard formats mzIdentML and Pride XML.	['Desktop application']	[{'term': 'Proteomics', 'uri': 'http://edamontology.org/topic_0121'}, {'term': 'Proteins', 'uri': 'http://edamontology.org/topic_0078'}]	[{'data': {'term': 'mass spectrometry data', 'uri': 'http://edamontology.org/data_2536'}, 'format': {'term': 'sql', 'uri': 'http://edamontology.org/format_3788'}}]	[{'data': {'term': 'mass spectrometry data', 'uri': 'http://edamontology.org/data_2536'}, 'format': {'term': 'sql', 'uri': 'http://edamontology.org/format_3788'}}]
art	ART is a set of simulation tools to generate synthetic next-generation sequencing reads. ART simulates sequencing reads by mimicking real sequencing process with empirical error models or quality profiles summarized from large recalibrated sequencing data. ART can also simulate reads using user own read error model or quality profiles. ART supports simulation of single-end, paired-end/mate-pair reads of three major commercial next-generation sequencing platforms. Illuminas Solexa, Roches 454 and Applied Biosystems SOLiD	[]	[{'term': 'Bioinformatics', 'uri': 'http://edamontology.org/topic_0091'}]	[]	[]
objtables	"ObjTables is a toolkit for creating re-usable datasets that are both human and machine-readable, combining the ease of spreadsheets (e.g., Excel workbooks) with the rigor of schemas (classes, their attributes, the type of each attribute, and the possible relationships between instances of classes).

ObjTables consists of a format for describing schemas for spreadsheets, numerous data types for science, a syntax for indicating the class and attribute represented by each table and column in a workbook, and software for using schemas to rigorously validate, merge, split, compare, and revision datasets.

ObjTables is ideal for supplementary materials of journal article, as well as for emerging domains which need to quickly build new formats for new types of data and associated software with minimal effort."	['Command-line tool', 'Library', 'Web application', 'Web API']	[{'term': 'Informatics', 'uri': 'http://edamontology.org/topic_0605'}, {'term': 'Data architecture, analysis and design', 'uri': 'http://edamontology.org/topic_3365'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Data quality management', 'uri': 'http://edamontology.org/topic_3572'}]	[{'data': {'term': 'text data', 'uri': 'http://edamontology.org/data_2526'}, 'format': {'term': 'tsv', 'uri': 'http://edamontology.org/format_3475'}}]	[{'data': {'term': 'text data', 'uri': 'http://edamontology.org/data_2526'}, 'format': {'term': 'tsv', 'uri': 'http://edamontology.org/format_3475'}}]
objtables	"ObjTables is a toolkit for creating re-usable datasets that are both human and machine-readable, combining the ease of spreadsheets (e.g., Excel workbooks) with the rigor of schemas (classes, their attributes, the type of each attribute, and the possible relationships between instances of classes).

ObjTables consists of a format for describing schemas for spreadsheets, numerous data types for science, a syntax for indicating the class and attribute represented by each table and column in a workbook, and software for using schemas to rigorously validate, merge, split, compare, and revision datasets.

ObjTables is ideal for supplementary materials of journal article, as well as for emerging domains which need to quickly build new formats for new types of data and associated software with minimal effort."	['Command-line tool', 'Library', 'Web application', 'Web API']	[{'term': 'Informatics', 'uri': 'http://edamontology.org/topic_0605'}, {'term': 'Data architecture, analysis and design', 'uri': 'http://edamontology.org/topic_3365'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Data quality management', 'uri': 'http://edamontology.org/topic_3572'}]	[{'data': {'term': 'text data', 'uri': 'http://edamontology.org/data_2526'}, 'format': {'term': 'tsv', 'uri': 'http://edamontology.org/format_3475'}}]	[{'data': {'term': 'text data', 'uri': 'http://edamontology.org/data_2526'}, 'format': {'term': 'tsv', 'uri': 'http://edamontology.org/format_3475'}}]
diversitytaxonnames	DiversityTaxonNames (DWB-DTN) is an application of Diversity Workbench (DWB). It might be installed as part of a DWB environment, but also as a stand-alone application, e. g., in a local installation. Each DWB module is devoted to a specific data domain. DTN is focused on the management of taxon names. Next to nomenclatural information on zoological, botanical, mycological, palaeontological, bacteriological taxon names like typification with type specimens, homotypic synonyms, basionyms, protologues and references according to the rules of the respective International Codes, it is designed to document taxonomic information. This includes accepted names (current names), heterotypic synonyms, name concepts and classifications as well as the history of changing taxonomic relations. DTN is also used to organise common names in various languages and regional taxon checklists with information on red list status and other taxon-based (ecological and nature conservation) parameters.	['Web API', 'Web service', 'Desktop application']	[{'term': 'Biology', 'uri': 'http://edamontology.org/topic_3070'}, {'term': 'Ontology and terminology', 'uri': 'http://edamontology.org/topic_0089'}, {'term': 'Data management', 'uri': 'http://edamontology.org/topic_3071'}]	[{'data': {'term': 'taxonomy', 'uri': 'http://edamontology.org/data_3028'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]	[{'data': {'term': 'taxonomy', 'uri': 'http://edamontology.org/data_3028'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]
diversitytaxonnames	DiversityTaxonNames (DWB-DTN) is an application of Diversity Workbench (DWB). It might be installed as part of a DWB environment, but also as a stand-alone application, e. g., in a local installation. Each DWB module is devoted to a specific data domain. DTN is focused on the management of taxon names. Next to nomenclatural information on zoological, botanical, mycological, palaeontological, bacteriological taxon names like typification with type specimens, homotypic synonyms, basionyms, protologues and references according to the rules of the respective International Codes, it is designed to document taxonomic information. This includes accepted names (current names), heterotypic synonyms, name concepts and classifications as well as the history of changing taxonomic relations. DTN is also used to organise common names in various languages and regional taxon checklists with information on red list status and other taxon-based (ecological and nature conservation) parameters.	['Web API', 'Web service', 'Desktop application']	[{'term': 'Biology', 'uri': 'http://edamontology.org/topic_3070'}, {'term': 'Ontology and terminology', 'uri': 'http://edamontology.org/topic_0089'}, {'term': 'Data management', 'uri': 'http://edamontology.org/topic_3071'}]	[{'data': {'term': 'taxonomy', 'uri': 'http://edamontology.org/data_3028'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]	[{'data': {'term': 'taxonomy', 'uri': 'http://edamontology.org/data_3028'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]
diversitydescriptions	DiversityDescriptions (DWB-DD) is an application of the Diversity Workbench (DWB). It might be installed as part of a DWB environment, but also as a stand-alone application, e. g., in a local installation. DD has a generic database model. It is organising descriptions of organisms, taxa, syntaxa and any item, which is object of diversity research. The descriptions are characterized by a triple structure, namely ’item-descriptor-state’.  The states can be generalized to one of the presently supported data types (categorical states, quantitative values and measures, molecular sequence data and free-form text). The descriptors (=properties) are not limited to morphological characters and functional traits, but could be physiological, ecological, behavioral , survey parameters, molecular descriptors, descriptors of a lab workflow, descriptors of data content schemes. Sample data and measurement data as gained by ecological field sampling are addressed with own functions.	['Desktop application']	[{'term': 'Biology', 'uri': 'http://edamontology.org/topic_3070'}, {'term': 'Ecology', 'uri': 'http://edamontology.org/topic_0610'}, {'term': 'Environmental science', 'uri': 'http://edamontology.org/topic_3855'}, {'term': 'Experimental design and studies', 'uri': 'http://edamontology.org/topic_3678'}, {'term': 'Omics', 'uri': 'http://edamontology.org/topic_3391'}, {'term': 'Data management', 'uri': 'http://edamontology.org/topic_3071'}]	[{'data': {'term': 'experimental measurement', 'uri': 'http://edamontology.org/data_3108'}, 'format': {'term': 'xml', 'uri': 'http://edamontology.org/format_2332'}}]	[{'data': {'term': 'experimental measurement', 'uri': 'http://edamontology.org/data_3108'}, 'format': {'term': 'xml', 'uri': 'http://edamontology.org/format_2332'}}]
diversity workbench	The modularized Diversity Workbench (=DWB) represents a tool suite for the management of life and environmental sciences data. The DWB is handling different kinds of bio- and geodiversity data, taxonomies, terminologies, and facilitates the processing of ecological, molecular biological, observational, collection and taxonomic data. It is capable and flexible enough to be applied as data storage system for institutional data repositories. The DWB is set up on a system of 11 xml-enabled SQL relational databases. The rich clients are installed as desktop applications. The DWB might be run as an intranet solution and provide direct interoperability with clients of interlinked DWB databases including cloud services. DWB installations are flexible in the management of highly structured data, enable sophisticated user administration and allow for user-adapted data entry and data exchange. Further, the DWB design facilitates the dynamic integration of web services and external data resources.	['Workbench']	[{'term': 'Biology', 'uri': 'http://edamontology.org/topic_3070'}, {'term': 'Environmental science', 'uri': 'http://edamontology.org/topic_3855'}, {'term': 'Experimental design and studies', 'uri': 'http://edamontology.org/topic_3678'}, {'term': 'Omics', 'uri': 'http://edamontology.org/topic_3391'}, {'term': 'Literature and language', 'uri': 'http://edamontology.org/topic_3068'}, {'term': 'Data management', 'uri': 'http://edamontology.org/topic_3071'}, {'term': 'Ontology and terminology', 'uri': 'http://edamontology.org/topic_0089'}]	[]	[]
diversitycollection	DiversityCollection (DWB-DC) is an application of the Diversity Workbench (DWB). It might be installed as part of a DWB environment, but also as a stand-alone application, e. g., in a local installation. Each DWB module is devoted to a specific data domain. DC is designed for data describing collection events, collections, collection vouchers and specimens, parts of specimens, as well as observation and occurrence data with assigned multimedia objects and documents. It is processing any action concerning the gathering, storage, transaction and treatment of specimens in a collection and is also appropriate to store observation data with analyses added. DC is unique among  collection management systems by its focus on biological relations between organisms linked together as one or more specimens or observations (e. g., host, parasite, hyperparasite, symbionts, etc.) and by its interoperability through internal and external services.	['Web service', 'Desktop application']	[{'term': 'Data management', 'uri': 'http://edamontology.org/topic_3071'}, {'term': 'Evolutionary biology', 'uri': 'http://edamontology.org/topic_3299'}, {'term': 'Microbiology', 'uri': 'http://edamontology.org/topic_3301'}, {'term': 'Plant biology', 'uri': 'http://edamontology.org/topic_0780'}, {'term': 'Zoology', 'uri': 'http://edamontology.org/topic_3500'}, {'term': 'Experimental design and studies', 'uri': 'http://edamontology.org/topic_3678'}, {'term': 'Animal study', 'uri': 'http://edamontology.org/topic_3679'}, {'term': 'Imaging', 'uri': 'http://edamontology.org/topic_3382'}, {'term': 'Genomics', 'uri': 'http://edamontology.org/topic_0622'}, {'term': 'Data management', 'uri': 'http://edamontology.org/topic_3071'}]	[{'data': {'term': 'ecological data', 'uri': 'http://edamontology.org/data_3736'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]	[{'data': {'term': 'ecological data', 'uri': 'http://edamontology.org/data_3736'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]
