name	description	type	topic	input	output
ontobrowser	The tool was developed to manage ontologies (and controlled terminologies e.g. CDISC SEND). The primary goal of the tool is to provide an online collaborative solution for expert curators to map code list terms (sourced from multiple systems/databases) to preferred ontology terms. Other key features include visualisation of ontologies in hierarchical/graph format, advanced search capabilities, peer review/approval workflow and web service access to data.	['Web API', 'Web application']	[{'term': 'Ontology and terminology', 'uri': 'http://edamontology.org/topic_0089'}, {'term': 'Data identity and mapping', 'uri': 'http://edamontology.org/topic_3345'}]	[{'data': {'term': 'ontology term', 'uri': 'http://edamontology.org/data_0966'}}]	[{'data': {'term': 'ontology term', 'uri': 'http://edamontology.org/data_0966'}}]
bridgedbr	Use BridgeDb functions and load identifier mapping databases in R.	['Command-line tool', 'Library']	[{'term': 'Data identity and mapping', 'uri': 'http://edamontology.org/topic_3345'}, {'term': 'Rare diseases', 'uri': 'http://edamontology.org/topic_3325'}]	[{'data': {'term': 'compound identifier', 'uri': 'http://edamontology.org/data_1086'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]	[{'data': {'term': 'compound identifier', 'uri': 'http://edamontology.org/data_1086'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]
gorth	A tool of the g:Profiler web server. It maps a list of genes of interest to homologous genes in another related target organism.	['Web application']	[{'term': 'Data identity and mapping', 'uri': 'http://edamontology.org/topic_3345'}, {'term': 'Evolutionary biology', 'uri': 'http://edamontology.org/topic_3299'}]	[{'data': {'term': 'identifier', 'uri': 'http://edamontology.org/data_0842'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]	[{'data': {'term': 'identifier', 'uri': 'http://edamontology.org/data_0842'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]
gcocoa	A tool of the g:Profiler web server. It enables to do functional annotation for several gene lists at the same time and compare their results.	['Web application']	[{'term': 'Function analysis', 'uri': 'http://edamontology.org/topic_1775'}, {'term': 'Ontology and terminology', 'uri': 'http://edamontology.org/topic_0089'}, {'term': 'Data mining', 'uri': 'http://edamontology.org/topic_3473'}, {'term': 'Data identity and mapping', 'uri': 'http://edamontology.org/topic_3345'}, {'term': 'Statistics and probability', 'uri': 'http://edamontology.org/topic_2269'}]	[{'data': {'term': 'identifier', 'uri': 'http://edamontology.org/data_0842'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]	[{'data': {'term': 'identifier', 'uri': 'http://edamontology.org/data_0842'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]
gconvert	A tool of the g:Profiler web server. It converts mix of different types of gene, protein, microarray probe, standard name and other database IDs to a target database ID.	['Web application']	[{'term': 'Data identity and mapping', 'uri': 'http://edamontology.org/topic_3345'}, {'term': 'Workflows', 'uri': 'http://edamontology.org/topic_0769'}]	[{'data': {'term': 'identifier', 'uri': 'http://edamontology.org/data_0842'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]	[{'data': {'term': 'identifier', 'uri': 'http://edamontology.org/data_0842'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]
bridgedb api	BridgeDb is a framework for finding and mapping equivalent database identifiers. It has many facets: it is both a framework, live services, and are identifier mapping files for genes, proteins, and metabolites.	['Web API']	[{'term': 'Data identity and mapping', 'uri': 'http://edamontology.org/topic_3345'}, {'term': 'Rare diseases', 'uri': 'http://edamontology.org/topic_3325'}]	[{'data': {'term': 'identifier', 'uri': 'http://edamontology.org/data_0842'}}]	[{'data': {'term': 'identifier', 'uri': 'http://edamontology.org/data_0842'}}]
mesbl gc-ms metabolite peak database	The MESBL GC-MS metabolite peak database is a standardized library of more than 900 metabolite peaks from MS-reconstructed gas chromatograms integrating the in-house standard compound and peak library of the FORTH/ICE-HT Metabolic Engineering and Systems Biology Laboratory, Greece, appropriately filtered GOLM database peak information and Human Metabolome database information.	['Library']	[{'term': 'Metabolomics', 'uri': 'http://edamontology.org/topic_3172'}, {'term': 'Laboratory techniques', 'uri': 'http://edamontology.org/topic_3361'}, {'term': 'Data identity and mapping', 'uri': 'http://edamontology.org/topic_3345'}, {'term': 'Cheminformatics', 'uri': 'http://edamontology.org/topic_2258'}, {'term': 'Systems biology', 'uri': 'http://edamontology.org/topic_2259'}, {'term': 'Biochemistry', 'uri': 'http://edamontology.org/topic_3292'}, {'term': 'Biochemistry', 'uri': 'http://edamontology.org/topic_3292'}]	[]	[]
fairifier	A general-purpose FAIRifier on the basis of the OpenRefine data cleaning and wrangling tool and the RDF plugin. This FAIRifier enables a post-hoc FAIRification workflow: load an existing dataset, perform data wrangling tasks, add FAIR attributes to the data, generate a linked data version of the data and, finally, push the result to an online FAIR data infrastructure to make it accessible and discoverable. Literal values in a dataset can be replaced by identifiers either manually or by embedded, customizable script expressions. The interoperability of the dataset can be improved by connecting these identifiers into a meaningful semantic graph-structure of ontological classes and properties using the integrated RDF model editor. A provenance trail automatically keeps track of each modification and additionally enables “undo” operations and repetition of operations on similar datasets. A FAIR data export function opens up a metadata editor to provide information about the dataset itself.	['Web application']	[{'term': 'Data identity and mapping', 'uri': 'http://edamontology.org/topic_3345'}, {'term': 'Data submission, annotation and curation', 'uri': 'http://edamontology.org/topic_0219'}]	[]	[]
blastr	A new method for searching Non-Coding RNAs in databases. The strategy we adopted relies on the use of the mutual information embedded in di-nucleotides. We have shown that this approach has better sensitivity and specifity than other softwares with comparable computational cost.	['Command-line tool']	[{'term': 'RNA', 'uri': 'http://edamontology.org/topic_0099'}, {'term': 'Data identity and mapping', 'uri': 'http://edamontology.org/topic_3345'}, {'term': 'Functional, regulatory and non-coding RNA', 'uri': 'http://edamontology.org/topic_0659'}]	[]	[]
1000genomes id history converter	Convert a set of Ensembl IDs from a previous release into their current equivalents.	['Web application']	[{'term': 'Data identity and mapping', 'uri': 'http://edamontology.org/topic_3345'}]	[{'data': {'term': 'ensembl id', 'uri': 'http://edamontology.org/data_2610'}}]	[{'data': {'term': 'ensembl id', 'uri': 'http://edamontology.org/data_2610'}}]
identifiers.org	Resolver of URIs.	['Web application']	[{'term': 'Data identity and mapping', 'uri': 'http://edamontology.org/topic_3345'}]	[{'data': {'term': 'uri', 'uri': 'http://edamontology.org/data_1047'}}]	[{'data': {'term': 'uri', 'uri': 'http://edamontology.org/data_1047'}}]
ensembl genomes bacteria id history converter	Convert a set of Ensembl IDs from a previous release into their current equivalents.	['Web application']	[{'term': 'Data identity and mapping', 'uri': 'http://edamontology.org/topic_3345'}]	[{'data': {'term': 'ensembl id', 'uri': 'http://edamontology.org/data_2610'}}]	[{'data': {'term': 'ensembl id', 'uri': 'http://edamontology.org/data_2610'}}]
ensembl genomes metazoa id history converter	Convert a set of Ensembl IDs from a previous release into their current equivalents.	['Web application']	[{'term': 'Data identity and mapping', 'uri': 'http://edamontology.org/topic_3345'}]	[{'data': {'term': 'ensembl id', 'uri': 'http://edamontology.org/data_2610'}}]	[{'data': {'term': 'ensembl id', 'uri': 'http://edamontology.org/data_2610'}}]
ensembl genomes fungi id history converter	Convert a set of Ensembl IDs from a previous release into their current equivalents.	['Web application']	[{'term': 'Data identity and mapping', 'uri': 'http://edamontology.org/topic_3345'}]	[{'data': {'term': 'ensembl id', 'uri': 'http://edamontology.org/data_2610'}}]	[{'data': {'term': 'ensembl id', 'uri': 'http://edamontology.org/data_2610'}}]
