name	description	type	topic	input	output
mint	Molecular interaction Database (MINT) - public repository for protein-protein interactions (PPI) reported in peer-reviewed journals. The web interface allows the users to search, visualize and download interactions data	['Web application', 'Database portal']	[{'term': 'Protein interactions', 'uri': 'http://edamontology.org/topic_0128'}, {'term': 'Molecular interactions, pathways and networks', 'uri': 'http://edamontology.org/topic_0602'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Rare diseases', 'uri': 'http://edamontology.org/topic_3325'}]	[{'data': {'term': 'text data', 'uri': 'http://edamontology.org/data_2526'}}]	[{'data': {'term': 'text data', 'uri': 'http://edamontology.org/data_2526'}}]
amon	"annotation of metabolite origins via networks to integrate microbiome and metabolome data.

Annotation of Metabolite Origin via Networks: A tool for predicting putative metabolite origins for microbes or between microbes and host with or without metabolomics data.

It is recommended to install AMON in a conda environment. The environment can be created by first downloading the environment file.

A command line tool for predicting the compounds produced by microbes and the host.

AMON includes two scripts. extract_ko_genome_from_organism.py takes a KEGG organism flat file and makes a list of KOs present in that file. AMON.py predicts the metabolites that could be produced by the KOs used as input. This can be compared to the KOs present in the host or from some other gene set as well as to as set of KEGG metabolites"	[]	[{'term': 'Microbial ecology', 'uri': 'http://edamontology.org/topic_3697'}, {'term': 'Metabolomics', 'uri': 'http://edamontology.org/topic_3172'}, {'term': 'Small molecules', 'uri': 'http://edamontology.org/topic_0154'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Data quality management', 'uri': 'http://edamontology.org/topic_3572'}]	[]	[]
pisa-tree	"pISA-tree is a data management solution developed to contribute to the reproducibility of research and analyses. 
Hierarchical set of batch files is used to create standardized nested directory tree and associated files for research projects. It is in accordance with the ISA-tab framework (Investigation/Study/Assay) and fulfills minimal requirements of FAIR paradigm.
The tree structure can be generated on the fly, actively during project development and growth. pISA-tree can support small to moderate projects and is a step towards the FAIR data guiding principles. 

In addition, two related R packages were developed: pisar -- R support for pISA-tree and seekr -- R interface with the SEEK API. The latter connects the project folders with the externally maintained and developed open source web platform FAIRDOMHub for sharing scientific research assets."	['Command-line tool', 'Script', 'Desktop application']	[{'term': 'Experimental design and studies', 'uri': 'http://edamontology.org/topic_3678'}, {'term': 'Data architecture, analysis and design', 'uri': 'http://edamontology.org/topic_3365'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Data quality management', 'uri': 'http://edamontology.org/topic_3572'}, {'term': 'Bioinformatics', 'uri': 'http://edamontology.org/topic_0091'}, {'term': 'Biology', 'uri': 'http://edamontology.org/topic_3070'}, {'term': 'Biomedical science', 'uri': 'http://edamontology.org/topic_3344'}]	[]	[]
fusion	Web application for the integrative analysis of omics data providing a collection of new and established tools and visualization methods to support researchers in exploring multi-level omics data. The software focuses on data-rich high-throughout experiments from transcriptomics, proteomics and/or metabolomics, and offers convenient functionality for a) omics data manipulation, b) data analysis, c) cluster analysis, d) data visualization.	['Web application']	[{'term': 'Bioinformatics', 'uri': 'http://edamontology.org/topic_0091'}, {'term': 'Transcriptomics', 'uri': 'http://edamontology.org/topic_3308'}, {'term': 'Proteomics', 'uri': 'http://edamontology.org/topic_0121'}, {'term': 'Metabolomics', 'uri': 'http://edamontology.org/topic_3172'}, {'term': 'Data visualisation', 'uri': 'http://edamontology.org/topic_0092'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Gene regulation', 'uri': 'http://edamontology.org/topic_0204'}, {'term': 'Protein expression', 'uri': 'http://edamontology.org/topic_0108'}, {'term': 'Gene expression', 'uri': 'http://edamontology.org/topic_0203'}]	[{'data': {'term': 'gene expression matrix', 'uri': 'http://edamontology.org/data_3112'}, 'format': {'term': 'xlsx', 'uri': 'http://edamontology.org/format_3620'}}]	[{'data': {'term': 'gene expression matrix', 'uri': 'http://edamontology.org/data_3112'}, 'format': {'term': 'xlsx', 'uri': 'http://edamontology.org/format_3620'}}]
rice genome hub	An open source database(s) for genetics, genomics and functional research in rice species	[]	[{'term': 'Molecular genetics', 'uri': 'http://edamontology.org/topic_3321'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Plant biology', 'uri': 'http://edamontology.org/topic_0780'}]	[]	[]
open targets	"data integration and visualization platform that provides evidence about the association of known and potential drug targets with diseases.
identification and prioritization of biological targets for follow-up.
integrated genome-wide data from a broad range of data sources: evidence from genetics, genomics, transcriptomics, drugs, animal models and scientific literature to score and rank target-disease associations for drug target identification.
either a target-centric workflow to identify diseases that may be associated with a specific target, or a disease-centric workflow to identify targets that may be associated with a specific disease."	['Web application', 'Database portal', 'Web service']	[{'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Data submission, annotation and curation', 'uri': 'http://edamontology.org/topic_0219'}, {'term': 'Genomics', 'uri': 'http://edamontology.org/topic_0622'}, {'term': 'Genetics', 'uri': 'http://edamontology.org/topic_3053'}, {'term': 'Omics', 'uri': 'http://edamontology.org/topic_3391'}]	[]	[]
cbs das protein viewer	Protein viewer which uses the distributed annotation system (DAS) to integrate and present annotation data from multiple sources for a protein sequence.	['Web application']	[{'term': 'Proteins', 'uri': 'http://edamontology.org/topic_0078'}, {'term': 'Gene and protein families', 'uri': 'http://edamontology.org/topic_0623'}, {'term': 'Sequence composition, complexity and repeats', 'uri': 'http://edamontology.org/topic_0157'}, {'term': 'Protein sites, features and motifs', 'uri': 'http://edamontology.org/topic_3510'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}]	[]	[]
phenomecentral	Repository for clinicians and scientists working in the rare disorder community. It enables secure sharing of case records by clinicians and rare disease scientists and helps the user to find additional cases of the same unnamed disorder. The repository identifies similar patients in the database based on semantic similarity between clinical features, automatically prioritized genes from whole-exome data, and candidate genes entered by the users.	['Web application', 'Database portal']	[{'term': 'Genotype and phenotype', 'uri': 'http://edamontology.org/topic_0625'}, {'term': 'Rare diseases', 'uri': 'http://edamontology.org/topic_3325'}, {'term': 'Phenomics', 'uri': 'http://edamontology.org/topic_3298'}, {'term': 'Genetic variation', 'uri': 'http://edamontology.org/topic_0199'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}]	[]	[]
ega	European genome-phenome Archive (EGA) - service for permanent archiving and sharing of all types of personally identifiable genetic and phenotypic data resulting from biomedical research projects.	['Web API', 'Web application', 'Database portal']	[{'term': 'Genotype and phenotype', 'uri': 'http://edamontology.org/topic_0625'}, {'term': 'Laboratory information management', 'uri': 'http://edamontology.org/topic_0607'}, {'term': 'Data security', 'uri': 'http://edamontology.org/topic_3263'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Rare diseases', 'uri': 'http://edamontology.org/topic_3325'}]	[{'data': {'term': 'ega accession', 'uri': 'http://edamontology.org/data_2383'}}]	[{'data': {'term': 'ega accession', 'uri': 'http://edamontology.org/data_2383'}}]
diseasecard	Information retrieval tool for accessing and integrating genetic and medical information for health applications. Resorting to this integrated environment, clinicians are able to access and relate diseases data already available in the Internet, scattered along multiple databases.	['Web API', 'Web application', 'Database portal']	[{'term': 'Rare diseases', 'uri': 'http://edamontology.org/topic_3325'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Molecular interactions, pathways and networks', 'uri': 'http://edamontology.org/topic_0602'}, {'term': 'Medical informatics', 'uri': 'http://edamontology.org/topic_3063'}, {'term': 'Database management', 'uri': 'http://edamontology.org/topic_3489'}]	[]	[]
