name	description	type	topic	input	output
fconverter	File format converter for FImpute	['Command-line tool']	[{'term': 'Population genomics', 'uri': 'http://edamontology.org/topic_3796'}]	[{'data': {'term': 'annotation track', 'uri': 'http://edamontology.org/data_3002'}, 'format': {'term': 'vcf', 'uri': 'http://edamontology.org/format_3016'}}]	[{'data': {'term': 'annotation track', 'uri': 'http://edamontology.org/data_3002'}, 'format': {'term': 'vcf', 'uri': 'http://edamontology.org/format_3016'}}]
scope	SCope is a fast visualization tool for large-scale and high dimensional scRNA-seq datasets. Currently the data format supported by SCope is .loom. This file format for very large omics datasets is maintained by the Linnarsson Lab through the loompy Python package (https://github.com/linnarsson-lab/loompy).	['Web application']	[{'term': 'Transcriptomics', 'uri': 'http://edamontology.org/topic_3308'}, {'term': 'RNA-Seq', 'uri': 'http://edamontology.org/topic_3170'}]	[{'data': {'term': 'matrix', 'uri': 'http://edamontology.org/data_2082'}, 'format': {'term': 'hdf5', 'uri': 'http://edamontology.org/format_3590'}}]	[{'data': {'term': 'matrix', 'uri': 'http://edamontology.org/data_2082'}, 'format': {'term': 'hdf5', 'uri': 'http://edamontology.org/format_3590'}}]
gatk_haplotype_caller	Call SNPs and indels simultaneously via local de-novo assembly of haplotypes in an active region.	['Web application']	[{'term': 'DNA polymorphism', 'uri': 'http://edamontology.org/topic_2885'}, {'term': 'Genetic variation', 'uri': 'http://edamontology.org/topic_0199'}, {'term': 'Sequencing', 'uri': 'http://edamontology.org/topic_3168'}]	[{'data': {'term': 'sequence variations', 'uri': 'http://edamontology.org/data_3498'}, 'format': {'term': 'vcf', 'uri': 'http://edamontology.org/format_3016'}}]	[{'data': {'term': 'sequence variations', 'uri': 'http://edamontology.org/data_3498'}, 'format': {'term': 'vcf', 'uri': 'http://edamontology.org/format_3016'}}]
elixir elearning platform	ELIXIR-SI eLearning Platform (EeLP) is a learning management system (LMS) continuously administered and maintained by ELIXIR Slovenia. EeLP is an open educational resource that enables all-in-one-place access to materials, tools and services for any ELIXIR-related course.	['Workbench']	[{'term': 'Bioinformatics', 'uri': 'http://edamontology.org/topic_0091'}, {'term': 'Computational biology', 'uri': 'http://edamontology.org/topic_3307'}, {'term': 'Systems biology', 'uri': 'http://edamontology.org/topic_2259'}, {'term': 'Literature and language', 'uri': 'http://edamontology.org/topic_3068'}]	[{'data': {'term': 'data', 'uri': 'http://edamontology.org/data_0006'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]	[{'data': {'term': 'data', 'uri': 'http://edamontology.org/data_0006'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]
phaseme	PhaseME is a tool set to assess the quality of the per read phasing information and help to reduce the errors during this process.	['Command-line tool', 'Desktop application']	[{'term': 'Genetic variation', 'uri': 'http://edamontology.org/topic_0199'}, {'term': 'Sequence analysis', 'uri': 'http://edamontology.org/topic_0080'}]	[{'data': {'term': 'data', 'uri': 'http://edamontology.org/data_0006'}, 'format': {'term': 'vcf', 'uri': 'http://edamontology.org/format_3016'}}]	[{'data': {'term': 'data', 'uri': 'http://edamontology.org/data_0006'}, 'format': {'term': 'vcf', 'uri': 'http://edamontology.org/format_3016'}}]
raiss	software package enabling the imputation of SNP summary statistics from the neighboring SNPs by taking advantage of the Linkage desiquilibrium.	['Command-line tool']	[{'term': 'GWAS study', 'uri': 'http://edamontology.org/topic_3517'}, {'term': 'Statistics and probability', 'uri': 'http://edamontology.org/topic_2269'}, {'term': 'Genetics', 'uri': 'http://edamontology.org/topic_3053'}]	[{'data': {'term': 'data', 'uri': 'http://edamontology.org/data_0006'}, 'format': {'term': 'tsv', 'uri': 'http://edamontology.org/format_3475'}}]	[{'data': {'term': 'data', 'uri': 'http://edamontology.org/data_0006'}, 'format': {'term': 'tsv', 'uri': 'http://edamontology.org/format_3475'}}]
jass	software package that handles the computation of the joint statistics over sets of selected GWAS results, and the interactive exploration of the results through a web interface.	['Command-line tool', 'Web application', 'Web service']	[{'term': 'GWAS study', 'uri': 'http://edamontology.org/topic_3517'}, {'term': 'Statistics and probability', 'uri': 'http://edamontology.org/topic_2269'}, {'term': 'Genetics', 'uri': 'http://edamontology.org/topic_3053'}]	[{'data': {'term': 'data', 'uri': 'http://edamontology.org/data_0006'}, 'format': {'term': 'hdf5', 'uri': 'http://edamontology.org/format_3590'}}]	[{'data': {'term': 'data', 'uri': 'http://edamontology.org/data_0006'}, 'format': {'term': 'hdf5', 'uri': 'http://edamontology.org/format_3590'}}]
jass	software package that handles the computation of the joint statistics over sets of selected GWAS results, and the interactive exploration of the results through a web interface.	['Command-line tool', 'Web application', 'Web service']	[{'term': 'GWAS study', 'uri': 'http://edamontology.org/topic_3517'}, {'term': 'Statistics and probability', 'uri': 'http://edamontology.org/topic_2269'}, {'term': 'Genetics', 'uri': 'http://edamontology.org/topic_3053'}]	[{'data': {'term': 'data', 'uri': 'http://edamontology.org/data_0006'}, 'format': {'term': 'hdf5', 'uri': 'http://edamontology.org/format_3590'}}]	[{'data': {'term': 'data', 'uri': 'http://edamontology.org/data_0006'}, 'format': {'term': 'hdf5', 'uri': 'http://edamontology.org/format_3590'}}]
idbac	A MALDI bioinformatics platform for analyzing protein and small molecule MALDI-TOF MS data (with a particular focus on mic organism analysis )	['Library', 'Desktop application']	[{'term': 'Metabolomics', 'uri': 'http://edamontology.org/topic_3172'}, {'term': 'Proteomics', 'uri': 'http://edamontology.org/topic_0121'}, {'term': 'Drug discovery', 'uri': 'http://edamontology.org/topic_3336'}, {'term': 'Microbiology', 'uri': 'http://edamontology.org/topic_3301'}, {'term': 'Microbial ecology', 'uri': 'http://edamontology.org/topic_3697'}]	[{'data': {'term': 'mass spectrometry data', 'uri': 'http://edamontology.org/data_2536'}, 'format': {'term': 'mass spectrometry data format', 'uri': 'http://edamontology.org/format_3245'}}]	[{'data': {'term': 'mass spectrometry data', 'uri': 'http://edamontology.org/data_2536'}, 'format': {'term': 'mass spectrometry data format', 'uri': 'http://edamontology.org/format_3245'}}]
pymzml	Python module to parse mzML data based on cElementTree.	['Library']	[{'term': 'Proteomics experiment', 'uri': 'http://edamontology.org/topic_3520'}]	[{'data': {'term': 'data', 'uri': 'http://edamontology.org/data_0006'}, 'format': {'term': 'mzml', 'uri': 'http://edamontology.org/format_3244'}}]	[{'data': {'term': 'data', 'uri': 'http://edamontology.org/data_0006'}, 'format': {'term': 'mzml', 'uri': 'http://edamontology.org/format_3244'}}]
