name	description	type	topic	input	output
rescript	"Reproducible sequence taxonomy reference database management for the masses.

REference Sequence annotation and CuRatIon Pipeline.

RESCRIPt is a python 3 package to support a variety of operations for managing and curating reference sequence databases, DNA/RNA sequence data, and taxonomic data."	[]	[{'term': 'Taxonomy', 'uri': 'http://edamontology.org/topic_0637'}, {'term': 'Database management', 'uri': 'http://edamontology.org/topic_3489'}, {'term': 'Metagenomics', 'uri': 'http://edamontology.org/topic_3174'}, {'term': 'Microbial ecology', 'uri': 'http://edamontology.org/topic_3697'}, {'term': 'Sequencing', 'uri': 'http://edamontology.org/topic_3168'}]	[]	[]
biosounds	BioSounds is a web application for ecoacoustics that archives and organises soundscape collections, hosts reference recording collections, generates navigable sound spectrograms, and allows annotation of animal vocalisations or other sounds.	['Web application']	[{'term': 'Biodiversity', 'uri': 'http://edamontology.org/topic_3050'}, {'term': 'Zoology', 'uri': 'http://edamontology.org/topic_3500'}, {'term': 'Workflows', 'uri': 'http://edamontology.org/topic_0769'}, {'term': 'Database management', 'uri': 'http://edamontology.org/topic_3489'}]	[]	[]
pmidcite	"Evaluating retrieval qualities of Google Scholar and PubMed.

Augment your PubMed literature search from the command-line by linking data downloaded from NIH's Open Citation Collection (NIH-OCC), which includes scientific influence, translation, and citation counts, with PubMed IDs (PMIDs), rather than clicking and clicking and clicking on Google Scholar Cited by N links.

1) Get citation counts, given PMIDs.

Command-line users can immediately augment their PubMed search results using the pmidcite scripts and library, which download citation data from the National Institutes of Health Open Citation Collection (NIH-OCC) database using NIH's ""iCite"" Application Programming Interface (API). We have found PubMed plus NIH-OCC citation data combined using pmidcite is a ""Better"" experience than using Google Scholar if your research is in the health sciences and you are amenable to consider working from the command line.

2) Sort citation counts, given PMIDs."	[]	[{'term': 'Literature and language', 'uri': 'http://edamontology.org/topic_3068'}, {'term': 'Chemistry', 'uri': 'http://edamontology.org/topic_3314'}, {'term': 'Database management', 'uri': 'http://edamontology.org/topic_3489'}]	[]	[]
geoboundaries	"A global database of political administrative boundaries.

geoBoundaries by the William & Mary geoLab.

Create dynamic maps, analyze and build location-aware and geospatial applications with your data using the power of PostGIS in the cloud."	['Web application']	[{'term': 'Database management', 'uri': 'http://edamontology.org/topic_3489'}, {'term': 'Quality affairs', 'uri': 'http://edamontology.org/topic_3393'}, {'term': 'Transcription factors and regulatory sites', 'uri': 'http://edamontology.org/topic_0749'}, {'term': 'Workflows', 'uri': 'http://edamontology.org/topic_0769'}, {'term': 'Physics', 'uri': 'http://edamontology.org/topic_3318'}]	[]	[]
peskaas	"A near-real-time, open-source monitoring and analytics system for small-scale fisheries.

PESKAAS: fisheries automated analytics system."	[]	[{'term': 'Model organisms', 'uri': 'http://edamontology.org/topic_0621'}, {'term': 'Workflows', 'uri': 'http://edamontology.org/topic_0769'}, {'term': 'Database management', 'uri': 'http://edamontology.org/topic_3489'}]	[]	[]
pdm_utils	"a SEA-PHAGES MySQL phage database management toolkit.

MySQL phage genomics database management utilities.

The pdm_utils repository provides the source code for pdm_utils Python package, developed in the SEA-PHAGES program to create, update, and maintain MySQL phage genomics databases."	[]	[{'term': 'Database management', 'uri': 'http://edamontology.org/topic_3489'}, {'term': 'Genomics', 'uri': 'http://edamontology.org/topic_0622'}, {'term': 'Bioinformatics', 'uri': 'http://edamontology.org/topic_0091'}, {'term': 'Protein interaction experiment', 'uri': 'http://edamontology.org/topic_3957'}]	[]	[]
pdb-tools web	"A user-friendly interface for the manipulation of PDB files.

A swiss army knife for manipulating and editing PDB files."	[]	[{'term': 'Workflows', 'uri': 'http://edamontology.org/topic_0769'}, {'term': 'Database management', 'uri': 'http://edamontology.org/topic_3489'}, {'term': 'Structural biology', 'uri': 'http://edamontology.org/topic_1317'}, {'term': 'Bioinformatics', 'uri': 'http://edamontology.org/topic_0091'}]	[]	[]
pmbd	PMBD is a Comprehensive Plastics Microbial Biodegradation Database.	[]	[{'term': 'Natural language processing', 'uri': 'http://edamontology.org/topic_0218'}, {'term': 'Microbial ecology', 'uri': 'http://edamontology.org/topic_3697'}, {'term': 'Database management', 'uri': 'http://edamontology.org/topic_3489'}, {'term': 'Enzymes', 'uri': 'http://edamontology.org/topic_0821'}, {'term': 'Biotechnology', 'uri': 'http://edamontology.org/topic_3297'}]	[]	[]
plasmo	PlaSMo stands for Plant Systems-biology Modelling and the mission of the project was ensuring the achievements of yesterday's Mathematical Modellers will be available for the Systems Biologists of tomorrow.	[]	[{'term': 'Plant biology', 'uri': 'http://edamontology.org/topic_0780'}, {'term': 'Database management', 'uri': 'http://edamontology.org/topic_3489'}, {'term': 'Systems biology', 'uri': 'http://edamontology.org/topic_2259'}]	[]	[]
u-ant	Semantic Microaggregation-based Anonymization Tool.	[]	[{'term': 'Data security', 'uri': 'http://edamontology.org/topic_3263'}, {'term': 'Database management', 'uri': 'http://edamontology.org/topic_3489'}]	[]	[]
staphopia	Staphopia is a database focusing on the genomes of the bacterial pathogen Staphylococcus aureus. Life-threatening Methicillin-resistant S. aureus (MRSA) infections strike across our society, both in the community and hospital settings. In recent years whole genome shotgun sequencing of clinical isolates has become common. As of August 2017 there were over 44,000 publicly available S. aureus sequencing projects in EBI's ENA database. Staphopia aims to provide rapid analysis of these whole-genome datasets as well as useful S. aureus specific results, such as genotype, antibiotic resistance and virulence gene profiles.	[]	[{'term': 'Genotype and phenotype', 'uri': 'http://edamontology.org/topic_0625'}, {'term': 'DNA polymorphism', 'uri': 'http://edamontology.org/topic_2885'}, {'term': 'Database management', 'uri': 'http://edamontology.org/topic_3489'}, {'term': 'Sequence assembly', 'uri': 'http://edamontology.org/topic_0196'}, {'term': 'Sample collections', 'uri': 'http://edamontology.org/topic_3277'}]	[]	[]
st-sim	"Subjective Evaluation of the Spectral Temporal SIMilarity (ST-SIM) Measure for Vibrotactile Quality Assessment.

Recent standardization efforts for Tactile Internet (TI) and haptic codecs have paved the route for delivering tactile experiences in synchrony with audio and visual interaction components. Since humans are the ultimate consumers of tactile interactions, it is utmost important to develop objective quality assessment measures that are in close agreements with human perception. In this work, we present the results of a large-scale subjective study of a recently proposed objective quality assessment approach for vibrotactile signals called ST-SIM (Spectral Temporal SIMilarity). ST-SIM encompasses two components: perceptual spectral and temporal similarity measures. Two subjective experiments were conducted to validate ST-SIM, and elicited subjective ratings are used to create a VibroTactile Quality Assessment (VTQA) database."	[]	[{'term': 'Laboratory techniques', 'uri': 'http://edamontology.org/topic_3361'}, {'term': 'Database management', 'uri': 'http://edamontology.org/topic_3489'}]	[]	[]
seqdata-beacon	SEQdata-BEACON is a comprehensive database of sequencing performance and statistical tools for performance evaluation and yield simulation in BGISEQ-500.	[]	[{'term': 'Sequencing', 'uri': 'http://edamontology.org/topic_3168'}, {'term': 'Database management', 'uri': 'http://edamontology.org/topic_3489'}, {'term': 'Statistics and probability', 'uri': 'http://edamontology.org/topic_2269'}, {'term': 'Plant biology', 'uri': 'http://edamontology.org/topic_0780'}]	[]	[]
seamis	Relative sea-level data from the SEAMIS database compared to ICE-5G model predictions of glacial isostatic adjustment.	[]	[{'term': 'Database management', 'uri': 'http://edamontology.org/topic_3489'}, {'term': 'Experimental design and studies', 'uri': 'http://edamontology.org/topic_3678'}, {'term': 'Mapping', 'uri': 'http://edamontology.org/topic_0102'}]	[]	[]
sctype	ScType is a tool for fully-automated cell type identification from single-cell RNA-seq data. ScType provides a complete pipeline for single-cell RNA-seq data analysis (including data processing, normalization and clustering) and cell-type annotation.	[]	[{'term': 'Transcriptomics', 'uri': 'http://edamontology.org/topic_3308'}, {'term': 'RNA-Seq', 'uri': 'http://edamontology.org/topic_3170'}, {'term': 'Cell biology', 'uri': 'http://edamontology.org/topic_2229'}, {'term': 'Database management', 'uri': 'http://edamontology.org/topic_3489'}, {'term': 'Proteomics', 'uri': 'http://edamontology.org/topic_0121'}]	[]	[]
scoc database	SCOC database is a large, open, and global database with sediment community oxygen consumption rates.	[]	[{'term': 'Marine biology', 'uri': 'http://edamontology.org/topic_3387'}, {'term': 'Database management', 'uri': 'http://edamontology.org/topic_3489'}, {'term': 'Data submission, annotation and curation', 'uri': 'http://edamontology.org/topic_0219'}, {'term': 'Literature and language', 'uri': 'http://edamontology.org/topic_3068'}]	[]	[]
sceptre	SCEptRe provides weekly updated, non-redundant, user customized benchmark datasets with information on the immune receptor features for receptor-specific epitope predictions. This tool extracts weekly updated 3D complexes of antibody-antigen, TCR-pMHC and MHC-ligand from the Immune Epitope Database (IEDB) and clusters them based on antigens, receptors and epitopes to generate benchmark datasets. Users can customize structural quality and clustering parameters (e.g. resolution, R free factors, antigen or epitope sequence identity) to generate these datasets based on their need.	[]	[{'term': 'Immunoproteins and antigens', 'uri': 'http://edamontology.org/topic_2830'}, {'term': 'Protein structure analysis', 'uri': 'http://edamontology.org/topic_2814'}, {'term': 'Database management', 'uri': 'http://edamontology.org/topic_3489'}]	[]	[]
catalysis-hub.org	A web-platform for sharing data and software for computational catalysis research.	['Database portal']	[{'term': 'Database management', 'uri': 'http://edamontology.org/topic_3489'}, {'term': 'Cheminformatics', 'uri': 'http://edamontology.org/topic_2258'}, {'term': 'Chemistry', 'uri': 'http://edamontology.org/topic_3314'}, {'term': 'Physics', 'uri': 'http://edamontology.org/topic_3318'}]	[]	[]
blastgui	"BlastGUI is A Python-Based Cross-Platform Local BLAST Visualization Software.
Users can build databases and perform sequence filtering and sequence alignment through a graphical user interface. The operation visualization, automatic sequence filtering, and cross-platform use can significantly facilitate the analysis of biological data and the mining of biological information."	['Desktop application']	[{'term': 'Sequence analysis', 'uri': 'http://edamontology.org/topic_0080'}, {'term': 'Structure analysis', 'uri': 'http://edamontology.org/topic_0081'}, {'term': 'Database management', 'uri': 'http://edamontology.org/topic_3489'}]	[]	[]
