name	description	type	topic	input	output
brat	The Biomarker Reliability Assessment Tool (BRAT) was developed to help researchers set targets to improve exposure assessment in studies of chemicals with a short half-life. The BRAT software uses a simple pharmacokinetic model to simulate exposure, internal levels, and resulting urinary levels in individuals from a population based on user-specified inputs (e.g., biological half-life, within- and between-person variability in exposure). Based on internal levels (a toxicologically-relevant exposure metric) and urinary levels in the simulated population, the tool evaluates – through linear regression and quantile classification – the accuracy of the estimation of internal levels depending on the number of urine samples.	['Desktop application']	[{'term': 'Biomarkers', 'uri': 'http://edamontology.org/topic_3360'}, {'term': 'Drug metabolism', 'uri': 'http://edamontology.org/topic_3375'}, {'term': 'Public health and epidemiology', 'uri': 'http://edamontology.org/topic_3305'}, {'term': 'Metabolomics', 'uri': 'http://edamontology.org/topic_3172'}, {'term': 'Small molecules', 'uri': 'http://edamontology.org/topic_0154'}]	[]	[]
base	BASE is a workflow to integrate non-ubiquitous genes in comparative genomics analyses for selection. It is used to built to ease the inference and interpretation of selection regimes in the context of comparative genomics. While the majority of these analyses are restricted to ortholog groups of ubiquitous genes - i.e. genes which are present in all the species considered - BASE allows to integrate ortholog groups of non-ubiquitous genes - i.e. genes which are not present in all the species considered.	['Script']	[{'term': 'Workflows', 'uri': 'http://edamontology.org/topic_0769'}, {'term': 'Phylogeny', 'uri': 'http://edamontology.org/topic_0084'}, {'term': 'Genetics', 'uri': 'http://edamontology.org/topic_3053'}]	[]	[]
qmcpack	"Advances in the development, efficiency, and application of auxiliary field and real-space variational and diffusion quantum Monte Carlo.

Effective core potentials (pseudopotentials) in formats suitable for QMCPACK and many quantum chemical and electronic structure codes are available at https://pseudopotentiallibrary.org."	[]	[{'term': 'Mathematics', 'uri': 'http://edamontology.org/topic_3315'}, {'term': 'Chemistry', 'uri': 'http://edamontology.org/topic_3314'}, {'term': 'Workflows', 'uri': 'http://edamontology.org/topic_0769'}, {'term': 'Computer science', 'uri': 'http://edamontology.org/topic_3316'}, {'term': 'NMR', 'uri': 'http://edamontology.org/topic_0593'}]	[]	[]
pyrice	PyRice is an API to access some Rice public databases at the same time with consistent output. PyRice design is modular and implements a smart query system which fits the computing resources to optimize the query speed.	[]	[{'term': 'Plant biology', 'uri': 'http://edamontology.org/topic_0780'}, {'term': 'Biological databases', 'uri': 'http://edamontology.org/topic_3071'}, {'term': 'Gene expression', 'uri': 'http://edamontology.org/topic_0203'}]	[]	[]
grall	"The Glycine Receptor Allosteric Ligands Library (GRALL).

GRALL – [IFM] LABORATOIRE D’INGÉNIERIE DES FONCTIONS MOLÉCULAIRES."	['Database portal']	[{'term': 'Small molecules', 'uri': 'http://edamontology.org/topic_0154'}, {'term': 'Pharmacology', 'uri': 'http://edamontology.org/topic_0202'}, {'term': 'Drug discovery', 'uri': 'http://edamontology.org/topic_3336'}]	[]	[]
pixy	"Unbiased estimation of nucleotide diversity and divergence in the presence of missing data.

pixy is a command-line tool for painlessly and correctly estimating average nucleotide diversity within (π) and between (dxy) populations from a VCF. In particular, pixy facilitates the use of VCFs containing invariant (AKA monomorphic) sites, which are essential for the correct computation of π and dxy in the face of missing data (i.e. always).

Unbiased estimation of nucleotide diversity within and between populations."	[]	[{'term': 'Genotype and phenotype', 'uri': 'http://edamontology.org/topic_0625'}, {'term': 'Population genetics', 'uri': 'http://edamontology.org/topic_3056'}, {'term': 'Genetic variation', 'uri': 'http://edamontology.org/topic_0199'}, {'term': 'Statistics and probability', 'uri': 'http://edamontology.org/topic_2269'}, {'term': 'Sequencing', 'uri': 'http://edamontology.org/topic_3168'}]	[]	[]
glyco3d	A Suite of Interlinked Databases of 3D Structures of Complex Carbohydrates, Lectins, Antibodies, and Glycosyltransferases.	['Web application']	[{'term': 'Carbohydrates', 'uri': 'http://edamontology.org/topic_0152'}, {'term': 'NMR', 'uri': 'http://edamontology.org/topic_0593'}, {'term': 'Small molecules', 'uri': 'http://edamontology.org/topic_0154'}, {'term': 'Immunoproteins and antigens', 'uri': 'http://edamontology.org/topic_2830'}, {'term': 'Molecular biology', 'uri': 'http://edamontology.org/topic_3047'}]	[]	[]
geoboost2	"A natural languageprocessing pipeline for GenBank metadata enrichment for virus phylogeography.

GeoBoost2 (part of the ZoDo project) is a system for extracting the location of infected hosts (LOIH) for a given set of GenBank metadata accessions. This involves API implementations that utilize NCBI API's for accessing and parsing information and delivering it to the researcher interested in investigating a set of sequences. You can also use this tool mine Geographic Locations in scientific articles (available as abstracts on PubMed or PMC-OA) or text files."	['Web application']	[{'term': 'Natural language processing', 'uri': 'http://edamontology.org/topic_0218'}, {'term': 'Public health and epidemiology', 'uri': 'http://edamontology.org/topic_3305'}, {'term': 'Workflows', 'uri': 'http://edamontology.org/topic_0769'}, {'term': 'Biotechnology', 'uri': 'http://edamontology.org/topic_3297'}, {'term': 'Infectious disease', 'uri': 'http://edamontology.org/topic_3324'}]	[]	[]
oncowiki	"An authentic learning approach to teaching cancer genomics.

On this site you can both (a) make and upload, and (b) download and analyse simulated patient case studies."	['Database portal']	[{'term': 'Oncology', 'uri': 'http://edamontology.org/topic_2640'}, {'term': 'Personalised medicine', 'uri': 'http://edamontology.org/topic_3577'}, {'term': 'Surgery', 'uri': 'http://edamontology.org/topic_3421'}, {'term': 'Machine learning', 'uri': 'http://edamontology.org/topic_3474'}, {'term': 'Proteomics', 'uri': 'http://edamontology.org/topic_0121'}]	[]	[]
mubd-decoymaker 2.0	"A Python GUI Application to Generate Maximal Unbiased Benchmarking Data Sets for Virtual Drug Screening.

MUBD-DecoyMaker2.0 is an easy-to-use computational tool to build maximal unbiased benchmarking sets for assessment of virtual screening approaches.

MUBD-DecoyMaker2.0 is a Python GUI application to generate maximal unbiased benchmarking sets data sets for virtual drug screening. It can be run on Windows-based machine and has no dependency"	['Command-line tool', 'Desktop application']	[{'term': 'Drug discovery', 'uri': 'http://edamontology.org/topic_3336'}, {'term': 'Pharmacology', 'uri': 'http://edamontology.org/topic_0202'}, {'term': 'Small molecules', 'uri': 'http://edamontology.org/topic_0154'}]	[]	[]
