name	description	type	topic	input	output
cancervar	CancerVar is a web server for improved evidence-based clinical interpretation for cancer somatic mutations. CancerVar is a bioinformatics software tool for clinical interpretation of somatic variants.	['Web application']	[{'term': 'Genetic variation', 'uri': 'http://edamontology.org/topic_0199'}, {'term': 'Oncology', 'uri': 'http://edamontology.org/topic_2640'}, {'term': 'Gene transcripts', 'uri': 'http://edamontology.org/topic_3512'}, {'term': 'Pathology', 'uri': 'http://edamontology.org/topic_0634'}, {'term': 'Preclinical and clinical studies', 'uri': 'http://edamontology.org/topic_3379'}]	[]	[]
rmdisease	"a database of genetic variants that affect RNA modifications, with implications for epitranscriptome pathogenesis.

RMDisease a database of genetic variants that affect RNA modifications, with implications for epitranscriptome pathogenesis.

Deciphering the biological impacts of millions of single nucleotide variants remains a major challenge."	[]	[{'term': 'Functional, regulatory and non-coding RNA', 'uri': 'http://edamontology.org/topic_0659'}, {'term': 'RNA splicing', 'uri': 'http://edamontology.org/topic_3320'}, {'term': 'DNA polymorphism', 'uri': 'http://edamontology.org/topic_2885'}, {'term': 'Gene transcripts', 'uri': 'http://edamontology.org/topic_3512'}, {'term': 'Transcription factors and regulatory sites', 'uri': 'http://edamontology.org/topic_0749'}]	[]	[]
brain predictability toolbox	The Brain Predictability toolbox (BPt) is a Python based Machine Learning library designed for working with Neuroimaging data. This library is particularly suited towards working with large neuroimaging datasets, where a large number of subjects with potentially multimodal data are avaliable.	['Library']	[{'term': 'Medical imaging', 'uri': 'http://edamontology.org/topic_3384'}, {'term': 'Machine learning', 'uri': 'http://edamontology.org/topic_3474'}, {'term': 'Workflows', 'uri': 'http://edamontology.org/topic_0769'}, {'term': 'Physiology', 'uri': 'http://edamontology.org/topic_3300'}]	[]	[]
iot-stream	"A Lightweight Ontology for Internet of Things Data Streams and Its Use with Data Analytics and Event Detection Services.

A Lightweight Ontology for IoT Data Streams.

T. Elsaleh, M. Bermudez-Edo, S. Enshaeifar, S. T. Acton, R. Rezvani and P. Barnaghi, ""IoT-Stream: A Lightweight Ontology for Internet of Things Data Streams,"" 2019 Global IoT Summit (GIoTS), Aarhus, Denmark, 2019, pp. 1-6.

||| CORRECT NAME OF TOOL COULD ALSO BE 'IoT' (bio.tools/IoT)"	['Web service']	[{'term': 'Ontology and terminology', 'uri': 'http://edamontology.org/topic_0089'}, {'term': 'Workflows', 'uri': 'http://edamontology.org/topic_0769'}, {'term': 'Model organisms', 'uri': 'http://edamontology.org/topic_0621'}]	[]	[]
invacost	"Analysing global economic costs of invasive alien species with the invacost R package.

The invacost R Package: Global Costs of Biological Invasions.

Leroy B, Kramer A, Courchamp C, Vaissi̬re AC & Diagne C 03/12/2020.

This approach is generalisable to any subset of the InvaCost database, regardless of data quantity. However, it does not account for the temporal dynamics of costs, and may thus underestimate the costs of invasions, especially for recent years for which we likely have incomplete data."	['Library']	[{'term': 'Ecology', 'uri': 'http://edamontology.org/topic_0610'}, {'term': 'Agricultural science', 'uri': 'http://edamontology.org/topic_3810'}, {'term': 'Statistics and probability', 'uri': 'http://edamontology.org/topic_2269'}]	[]	[]
indigenomes	"A comprehensive resource of genetic variants from over 1000 Indian genomes.

IndiGenomes Resource of Population Genomes from India."	['Web service']	[{'term': 'Genomics', 'uri': 'http://edamontology.org/topic_0622'}, {'term': 'Exome sequencing', 'uri': 'http://edamontology.org/topic_3676'}, {'term': 'Population genetics', 'uri': 'http://edamontology.org/topic_3056'}, {'term': 'Genotype and phenotype', 'uri': 'http://edamontology.org/topic_0625'}, {'term': 'Genetic variation', 'uri': 'http://edamontology.org/topic_0199'}]	[]	[]
blastfrost	BlastFrost is a highly efficient method for querying 100,000s of genome assemblies. BlastFrost builds on the recently developed Bifrost, which generates a dynamic data structure for compacted and colored de Bruijn graphs from bacterial genomes. BlastFrost queries a Bifrost data structure for sequences of interest, and extracts local subgraphs, thereby enabling the efficient identification of the presence or absence of individual genes or single nucleotide sequence variants.	['Command-line tool']	[{'term': 'DNA polymorphism', 'uri': 'http://edamontology.org/topic_2885'}, {'term': 'Sequence assembly', 'uri': 'http://edamontology.org/topic_0196'}, {'term': 'Genomics', 'uri': 'http://edamontology.org/topic_0622'}]	[]	[]
bifrost	Bifrost is a command-line tool for sequencing that features a broad range of functions, such as indexing, editing, and querying the graph, and includes a graph coloring method that maps each k-mer of the graph to the genomes it occurs in.	['Command-line tool']	[{'term': 'Sequence assembly', 'uri': 'http://edamontology.org/topic_0196'}, {'term': 'Transcription factors and regulatory sites', 'uri': 'http://edamontology.org/topic_0749'}, {'term': 'Mapping', 'uri': 'http://edamontology.org/topic_0102'}]	[]	[]
quartataweb	"Integrated Chemical-Protein-Pathway Mapping for Polypharmacology and Chemogenomics.

Data on protein-drug and protein-chemical interactions are rapidly accumulating in databases such as DrugBank and STITCH."	[]	[{'term': 'Small molecules', 'uri': 'http://edamontology.org/topic_0154'}, {'term': 'Molecular interactions, pathways and networks', 'uri': 'http://edamontology.org/topic_0602'}, {'term': 'Medicinal chemistry', 'uri': 'http://edamontology.org/topic_0209'}, {'term': 'Pharmacology', 'uri': 'http://edamontology.org/topic_0202'}, {'term': 'Compound libraries and screening', 'uri': 'http://edamontology.org/topic_3343'}]	[]	[]
ildgdb	"A manually curated database of genomics, transcriptomics, proteomics and drug information for interstitial lung diseases.

ILDGDB is a manually curated database that provides comprehensive experimentally supported associations between genes and interstitial lung diseases (ILDs). The current version of ILDGDB incorporates 20 ILDs and over 600 genes obtained from 3000 articles in four species. The database consists of 5 sections: regulation of mRNA level (1082 entries, more than 450 genes), regulation of protein level (391 entries, more than 200 genes), variants (425 entries, more than 100 genes), drug information (35 entries, 29 genes) and knockout information (85 entries, 72 genes)."	['Database portal']	[{'term': 'Proteomics', 'uri': 'http://edamontology.org/topic_0121'}, {'term': 'Transcriptomics', 'uri': 'http://edamontology.org/topic_3308'}, {'term': 'Pathology', 'uri': 'http://edamontology.org/topic_0634'}, {'term': 'Gene transcripts', 'uri': 'http://edamontology.org/topic_3512'}, {'term': 'Sequence analysis', 'uri': 'http://edamontology.org/topic_0080'}]	[]	[]
