name	description	type	topic	input	output
bio.tools sum	Local views over bio.tools data with information about publications and citations.	['Web application']	[{'term': 'Informatics', 'uri': 'http://edamontology.org/topic_0605'}]	[]	[]
phyd3	Phylogenetic tree viewer based on d3.js. It was developed as an alternative to Archaeopteryx.	['Web application']	[{'term': 'Phylogenetics', 'uri': 'http://edamontology.org/topic_3293'}]	[{'data': {'term': 'resource metadata', 'uri': 'http://edamontology.org/data_2337'}, 'format': {'term': 'sequence feature annotation format', 'uri': 'http://edamontology.org/format_1920'}}]	[{'data': {'term': 'resource metadata', 'uri': 'http://edamontology.org/data_2337'}, 'format': {'term': 'sequence feature annotation format', 'uri': 'http://edamontology.org/format_1920'}}]
bise bioimage informatics search engine	BIII Bio Image informatics Index (www.biii.eu)  also called BISE is a knowledge database of software tools,  image databases for benchmarking and training materials for bio image analysis. Software tools are organized as full protocol of analysis (workflow), specific brick (component) to construct a workflow, or software platform or library (collection).  They are described using Edam Bio Imaging, which is iteratively defined using this website. All entries are exposed following FAIR principles and accessible for other usage with  (ODC-By) v1.0 license.	['Bioinformatics portal', 'Database portal']	[{'term': 'Medical informatics', 'uri': 'http://edamontology.org/topic_3063'}, {'term': 'Bioinformatics', 'uri': 'http://edamontology.org/topic_0091'}, {'term': 'Workflows', 'uri': 'http://edamontology.org/topic_0769'}, {'term': 'Phenomics', 'uri': 'http://edamontology.org/topic_3298'}, {'term': 'Imaging', 'uri': 'http://edamontology.org/topic_3382'}]	[{'data': {'term': 'ontology term', 'uri': 'http://edamontology.org/data_0966'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]	[{'data': {'term': 'ontology term', 'uri': 'http://edamontology.org/data_0966'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]
bise bioimage informatics search engine	BIII Bio Image informatics Index (www.biii.eu)  also called BISE is a knowledge database of software tools,  image databases for benchmarking and training materials for bio image analysis. Software tools are organized as full protocol of analysis (workflow), specific brick (component) to construct a workflow, or software platform or library (collection).  They are described using Edam Bio Imaging, which is iteratively defined using this website. All entries are exposed following FAIR principles and accessible for other usage with  (ODC-By) v1.0 license.	['Bioinformatics portal', 'Database portal']	[{'term': 'Medical informatics', 'uri': 'http://edamontology.org/topic_3063'}, {'term': 'Bioinformatics', 'uri': 'http://edamontology.org/topic_0091'}, {'term': 'Workflows', 'uri': 'http://edamontology.org/topic_0769'}, {'term': 'Phenomics', 'uri': 'http://edamontology.org/topic_3298'}, {'term': 'Imaging', 'uri': 'http://edamontology.org/topic_3382'}]	[{'data': {'term': 'ontology term', 'uri': 'http://edamontology.org/data_0966'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]	[{'data': {'term': 'ontology term', 'uri': 'http://edamontology.org/data_0966'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]
mageri	A software for analyzing UMI-tagged data for detecting ultra-rare variants.	['Script']	[{'term': 'Sequence analysis', 'uri': 'http://edamontology.org/topic_0080'}, {'term': 'Pathology', 'uri': 'http://edamontology.org/topic_0634'}, {'term': 'Genetic variation', 'uri': 'http://edamontology.org/topic_0199'}]	[{'data': {'term': 'resource metadata', 'uri': 'http://edamontology.org/data_2337'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]	[{'data': {'term': 'resource metadata', 'uri': 'http://edamontology.org/data_2337'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]
groc-svs	Genome-wide Reconstruction of Complex Structural Variants (GROC-SVs) is a software pipeline for identifying large-scale structural variants, performing sequence assembly at the breakpoints, and reconstructing the complex structural variants using the long-fragment information from the 10x Genomics platform.	['Command-line tool']	[{'term': 'DNA structural variation', 'uri': 'http://edamontology.org/topic_3175'}, {'term': 'Sequence analysis', 'uri': 'http://edamontology.org/topic_0080'}, {'term': 'Sequencing', 'uri': 'http://edamontology.org/topic_3168'}]	[{'data': {'term': 'resource metadata', 'uri': 'http://edamontology.org/data_2337'}, 'format': {'term': 'json', 'uri': 'http://edamontology.org/format_3464'}}]	[{'data': {'term': 'resource metadata', 'uri': 'http://edamontology.org/data_2337'}, 'format': {'term': 'json', 'uri': 'http://edamontology.org/format_3464'}}]
velvet	A de novo genomic assembler specially designed for short read sequencing technologies, such as Solexa or 454 or SOLiD.	['Command-line tool']	[{'term': 'Sequence assembly', 'uri': 'http://edamontology.org/topic_0196'}]	[{'data': {'term': 'sequence', 'uri': 'http://edamontology.org/data_2044'}, 'format': {'term': 'fasta', 'uri': 'http://edamontology.org/format_1929'}}]	[{'data': {'term': 'sequence', 'uri': 'http://edamontology.org/data_2044'}, 'format': {'term': 'fasta', 'uri': 'http://edamontology.org/format_1929'}}]
cellalign	A method for comparing expression dynamics within and between single-cell differentiation trajectories.	['Plug-in']	[{'term': 'Gene expression', 'uri': 'http://edamontology.org/topic_0203'}, {'term': 'Cell biology', 'uri': 'http://edamontology.org/topic_2229'}, {'term': 'Developmental biology', 'uri': 'http://edamontology.org/topic_3064'}]	[{'data': {'term': 'resource metadata', 'uri': 'http://edamontology.org/data_2337'}, 'format': {'term': 'data index format', 'uri': 'http://edamontology.org/format_3326'}}]	[{'data': {'term': 'resource metadata', 'uri': 'http://edamontology.org/data_2337'}, 'format': {'term': 'data index format', 'uri': 'http://edamontology.org/format_3326'}}]
abarray	An R package which functions provide an automated pipeline to perform expression analysis for Applied Biosystems Genome Survey Microarray (AB1700) data format. Functions include data preprocessing, filtering, control probe analysis, statistical analysis. A GUI interface is also provided.	['Command-line tool', 'Library']	[{'term': 'Microarray experiment', 'uri': 'http://edamontology.org/topic_3518'}, {'term': 'Gene expression', 'uri': 'http://edamontology.org/topic_0203'}, {'term': 'Workflows', 'uri': 'http://edamontology.org/topic_0769'}, {'term': 'Statistics and probability', 'uri': 'http://edamontology.org/topic_2269'}]	[{'data': {'term': 'resource metadata', 'uri': 'http://edamontology.org/data_2337'}, 'format': {'term': 'dsv', 'uri': 'http://edamontology.org/format_3751'}}]	[{'data': {'term': 'resource metadata', 'uri': 'http://edamontology.org/data_2337'}, 'format': {'term': 'dsv', 'uri': 'http://edamontology.org/format_3751'}}]
prophecy	Profiling of phenotypic characteristics in yeast.	['Database portal']	[{'term': 'Phenomics', 'uri': 'http://edamontology.org/topic_3298'}]	[{'data': {'term': 'keyword', 'uri': 'http://edamontology.org/data_0968'}}]	[{'data': {'term': 'keyword', 'uri': 'http://edamontology.org/data_0968'}}]
