name	description	type	topic	input	output
abcmodeller	"An automatic data mining tool based on a consistent voting method with a user-friendly graphical interface.

In order to extract useful information from a huge amount of biological data nowadays, simple and convenient tools are urgently needed for data analysis and modeling. In this paper, an automatic data mining tool, termed as ABCModeller (Automatic Binary Classification Modeller), with a user-friendly graphical interface was developed here, which includes automated functions as data preprocessing, significant feature extraction, classification modeling, model evaluation and prediction. In order to enhance the generalization ability of the final model, a consistent voting method was built here in this tool with the utilization of three popular machine-learning algorithms, as artificial neural network, support vector machine and random forest."	['Desktop application']	[{'term': 'Machine learning', 'uri': 'http://edamontology.org/topic_3474'}, {'term': 'Data mining', 'uri': 'http://edamontology.org/topic_3473'}, {'term': 'Statistics and probability', 'uri': 'http://edamontology.org/topic_2269'}]	[]	[]
omics data paper generator	"The Omics Data Paper Generator is an R Shiny app, installable as a golem, which imports (gen)omics metadata from EMBL's ENA and associated records from ArrayExpress and BioSamples into a data paper manuscript according to Pensoft's Biodiversity Data Journal omics data paper manuscript template. The manuscript can be downloaded as HTML or JATS XML. 
The goal of the tool is to enable (gen)omic data sharing and reuse through facilitating the authoring of genomics data papers.
The workflow implemented in the Omics Data Paper Generator has been integrated inside Pensoft's ARPHA platform for authoring and reviewing scholarly articles. There, via this workflow, genomic data papers manuscripts can be generated by providing an ENA Study of Project identifier. Authors are then encouraged to improve their manuscripts through additional metadata and narrative.
In addition to running this tool to use the workflow, it can be used via a web application: https://mdmtrv.shinyapps.io/Omics_data_paper/"	['Web application']	[{'term': 'Workflows', 'uri': 'http://edamontology.org/topic_0769'}, {'term': 'Data acquisition', 'uri': 'http://edamontology.org/topic_3077'}, {'term': 'Genomics', 'uri': 'http://edamontology.org/topic_0622'}]	[]	[]
varicarta	"A Comprehensive Database of Harmonized Genomic Variants Found in Autism Spectrum Disorder Sequencing Studies.

VariCarta is a curated, web-based database housing ASD-linked genes created from the meta-analysis of -omic sequencing literature.

VariCarta is a database of human DNA genetic variants found in individuals diagnosed with Autism Spectrum Disorder (ASD) and reported in peer-reviewed scientific literature."	[]	[{'term': 'Sequencing', 'uri': 'http://edamontology.org/topic_3168'}, {'term': 'Literature and language', 'uri': 'http://edamontology.org/topic_3068'}, {'term': 'Mapping', 'uri': 'http://edamontology.org/topic_0102'}, {'term': 'Phenomics', 'uri': 'http://edamontology.org/topic_3298'}, {'term': 'Data submission, annotation and curation', 'uri': 'http://edamontology.org/topic_0219'}]	[]	[]
spdi	Data Model for Variants and Applications at NCBI.	['Web API']	[{'term': 'Sequencing', 'uri': 'http://edamontology.org/topic_3168'}, {'term': 'Genetic variation', 'uri': 'http://edamontology.org/topic_0199'}, {'term': 'Protein variants', 'uri': 'http://edamontology.org/topic_3120'}, {'term': 'Sequence assembly', 'uri': 'http://edamontology.org/topic_0196'}, {'term': 'Mapping', 'uri': 'http://edamontology.org/topic_0102'}]	[]	[]
spatio-temporal	"This is a tool for navigating through the r packages for movement. It handles and analyses Spatio- Temporal Data. 
Handling and Analyzing Spatio-Temporal Data."	[]	[{'term': 'Ecology', 'uri': 'http://edamontology.org/topic_0610'}, {'term': 'Sequence sites, features and motifs', 'uri': 'http://edamontology.org/topic_0160'}, {'term': 'Statistics and probability', 'uri': 'http://edamontology.org/topic_2269'}, {'term': 'Mapping', 'uri': 'http://edamontology.org/topic_0102'}, {'term': 'Machine learning', 'uri': 'http://edamontology.org/topic_3474'}]	[]	[]
sdrs	The Swine Disease Reporting System (SDRS) consists of multiple projects that aggregates data from participating veterinary diagnostic laboratories (VDLs) in the United States of America, and reports the major findings to the swine industry.	[]	[{'term': 'PCR experiment', 'uri': 'http://edamontology.org/topic_3519'}, {'term': 'Pathology', 'uri': 'http://edamontology.org/topic_0634'}, {'term': 'Respiratory medicine', 'uri': 'http://edamontology.org/topic_3322'}, {'term': 'Public health and epidemiology', 'uri': 'http://edamontology.org/topic_3305'}, {'term': 'Genotype and phenotype', 'uri': 'http://edamontology.org/topic_0625'}]	[]	[]
ribor	Ribo Ecosystem is a set of software tools, built around the ribo file format, to facilitate analyzing ribosome profiling data at ribosome protected footprint length resolution. It consists of a pipeline, RiboFlow, and two interfaces RiboR and RiboPy.	[]	[{'term': 'Cell biology', 'uri': 'http://edamontology.org/topic_2229'}, {'term': 'Workflows', 'uri': 'http://edamontology.org/topic_0769'}, {'term': 'Protein expression', 'uri': 'http://edamontology.org/topic_0108'}, {'term': 'Functional, regulatory and non-coding RNA', 'uri': 'http://edamontology.org/topic_0659'}, {'term': 'RNA-Seq', 'uri': 'http://edamontology.org/topic_3170'}]	[]	[]
ribopy	RiboPy is an ecosystem for analyzing ribosome profiling data at read length resolution.	[]	[{'term': 'Cell biology', 'uri': 'http://edamontology.org/topic_2229'}, {'term': 'Protein expression', 'uri': 'http://edamontology.org/topic_0108'}, {'term': 'Sequence assembly', 'uri': 'http://edamontology.org/topic_0196'}, {'term': 'Functional, regulatory and non-coding RNA', 'uri': 'http://edamontology.org/topic_0659'}, {'term': 'Gene expression', 'uri': 'http://edamontology.org/topic_0203'}]	[]	[]
riboflow	RiboFlow is an ecosystem for analyzing ribosome profiling data at read length resolution.	[]	[{'term': 'Cell biology', 'uri': 'http://edamontology.org/topic_2229'}, {'term': 'Protein expression', 'uri': 'http://edamontology.org/topic_0108'}, {'term': 'Sequence assembly', 'uri': 'http://edamontology.org/topic_0196'}, {'term': 'Functional, regulatory and non-coding RNA', 'uri': 'http://edamontology.org/topic_0659'}, {'term': 'Gene expression', 'uri': 'http://edamontology.org/topic_0203'}]	[]	[]
qsar	"Comprehensive ensemble in QSAR prediction for drug discovery.

There exist a new type of QSAR individual classifier that is an end-to-end neural network model based on 1D-CNN and RNN. It extracts sequential features automatically from the SMILES."	[]	[{'term': 'Machine learning', 'uri': 'http://edamontology.org/topic_3474'}, {'term': 'Drug discovery', 'uri': 'http://edamontology.org/topic_3336'}, {'term': 'Drug metabolism', 'uri': 'http://edamontology.org/topic_3375'}]	[]	[]
protmapper	"Assembling a phosphoproteomic knowledge base using ProtMapper to normalize phosphosite information from databases and text mining. 
Map amino acid sites of post-translational modifications from models or data to reference positions.

Code to generate results and figures relevant to the ProtMapper manuscript.

The Protmapper maps references to protein sites to the human reference sequence based on UniProt, PhosphoSitePlus, and manual curation."	[]	[{'term': 'Natural language processing', 'uri': 'http://edamontology.org/topic_0218'}, {'term': 'Protein modifications', 'uri': 'http://edamontology.org/topic_0601'}, {'term': 'Small molecules', 'uri': 'http://edamontology.org/topic_0154'}, {'term': 'Proteomics', 'uri': 'http://edamontology.org/topic_0121'}, {'term': 'Molecular interactions, pathways and networks', 'uri': 'http://edamontology.org/topic_0602'}]	[]	[]
prodigy	Prodigy is an R package that offers personalized prioritization of driver genes in cancer.	[]	[{'term': 'Oncology', 'uri': 'http://edamontology.org/topic_2640'}, {'term': 'Molecular interactions, pathways and networks', 'uri': 'http://edamontology.org/topic_0602'}, {'term': 'Personalised medicine', 'uri': 'http://edamontology.org/topic_3577'}, {'term': 'Genetic variation', 'uri': 'http://edamontology.org/topic_0199'}, {'term': 'Epigenomics', 'uri': 'http://edamontology.org/topic_3173'}]	[]	[]
regbase	whole genome base-wise aggregation and functional prediction for human non-coding regulatory variants | Base-wise aggregation and functional prediction for human non-coding regulatory variants | regBase is a comprehensively integrated non-coding regulatory prediction scores and composite prediction models from existing tools for base-wise annotation of human genome. As such, the regBase resource provides convenience to prioritize functional regulatory SNVs and assist the fine mapping of causal regulatory SNVs without queries from numerus sources	[]	[{'term': 'Functional, regulatory and non-coding RNA', 'uri': 'http://edamontology.org/topic_0659'}, {'term': 'Genetic variation', 'uri': 'http://edamontology.org/topic_0199'}, {'term': 'Oncology', 'uri': 'http://edamontology.org/topic_2640'}]	[]	[]
data dependent-independent acquisition proteomics (ddia)	Data dependent-independent acquisition proteomics (DDIA) is a pipeline for combining and analysing Data dependent acquisition (DDA) and data independent acquisition (DIA) proteomics data.	['Workflow']	[{'term': 'Proteomics', 'uri': 'http://edamontology.org/topic_0121'}, {'term': 'Small molecules', 'uri': 'http://edamontology.org/topic_0154'}, {'term': 'Sequence analysis', 'uri': 'http://edamontology.org/topic_0080'}, {'term': 'Proteomics experiment', 'uri': 'http://edamontology.org/topic_3520'}]	[]	[]
ontobrowser	The tool was developed to manage ontologies (and controlled terminologies e.g. CDISC SEND). The primary goal of the tool is to provide an online collaborative solution for expert curators to map code list terms (sourced from multiple systems/databases) to preferred ontology terms. Other key features include visualisation of ontologies in hierarchical/graph format, advanced search capabilities, peer review/approval workflow and web service access to data.	['Web API', 'Web application']	[{'term': 'Ontology and terminology', 'uri': 'http://edamontology.org/topic_0089'}, {'term': 'Data identity and mapping', 'uri': 'http://edamontology.org/topic_3345'}]	[{'data': {'term': 'ontology term', 'uri': 'http://edamontology.org/data_0966'}}]	[{'data': {'term': 'ontology term', 'uri': 'http://edamontology.org/data_0966'}}]
