name	description	type	topic	input	output
alliance genome resources	A modern data ecosystem for model organism databases.	['Database portal']	[{'term': 'Model organisms', 'uri': 'http://edamontology.org/topic_0621'}, {'term': 'Data governance', 'uri': 'http://edamontology.org/topic_3571'}, {'term': 'Database management', 'uri': 'http://edamontology.org/topic_3489'}, {'term': 'Ontology and terminology', 'uri': 'http://edamontology.org/topic_0089'}, {'term': 'Literature and language', 'uri': 'http://edamontology.org/topic_3068'}]	[]	[]
data information system (daisy)	DAISY is an open-source  web application that allows biomedical research institutions to map their data and data flows in accordance with GDPR's accountability requirement.	['Web application']	[{'term': 'Data governance', 'uri': 'http://edamontology.org/topic_3571'}, {'term': 'Regulatory affairs', 'uri': 'http://edamontology.org/topic_3394'}, {'term': 'Data management', 'uri': 'http://edamontology.org/topic_3071'}]	[]	[]
genie-sys	"Genome Integrative Explorer System.

Genome Integrative Explorer System (GenIE-Sys).

Website : Documentation : Demo : Users.

Welcome to GenIE-Sys’s documentation! — GenIE-Sys 0.1 documentation.

The Genome Integrative Explorer System(GenIE-Sys) based on a flat files Content Management System which is a dedicative in-house system to facilitate external groups in setting up their own web resource for searching, visualizing, editing, sharing and reproducing their genomic and transcriptomic data while using project raw data(gff3,fasta,fatsq) as an input.

This is the Development and the latest version of GenIE-Sys. Our main goal is to add admin interface where users can easily create database plus integrate different types of data, create new pages and menus, configure tools and changing website layout by using Themes.

Free document hosting provided by Read the Docs"	['Desktop application']	[{'term': 'Database management', 'uri': 'http://edamontology.org/topic_3489'}, {'term': 'Transcriptomics', 'uri': 'http://edamontology.org/topic_3308'}, {'term': 'RNA-Seq', 'uri': 'http://edamontology.org/topic_3170'}, {'term': 'Data governance', 'uri': 'http://edamontology.org/topic_3571'}, {'term': 'Plant biology', 'uri': 'http://edamontology.org/topic_0780'}]	[]	[]
human splicing finder	The Human Splicing Finder (HSF) system combines 12 different algorithms to identify and predict mutations’ effect on splicing motifs including the acceptor and donor splice sites, the branch point and auxiliary sequences known to either enhance or repress splicing: Exonic Splicing Enhancers (ESE) and Exonic Splicing Silencers (ESS).	['Web application']	[{'term': 'Gene transcripts', 'uri': 'http://edamontology.org/topic_3512'}, {'term': 'RNA splicing', 'uri': 'http://edamontology.org/topic_3320'}, {'term': 'Genetic variation', 'uri': 'http://edamontology.org/topic_0199'}, {'term': 'Data governance', 'uri': 'http://edamontology.org/topic_3571'}, {'term': 'Rare diseases', 'uri': 'http://edamontology.org/topic_3325'}, {'term': 'Medical informatics', 'uri': 'http://edamontology.org/topic_3063'}]	[]	[]
vista enhancer browser	A resource for experimentally validated human and mouse enhancers. Users can retrieve elements near single genes of interest, search for enhancers that target reporter gene expression to a particular tissue, or download entire collections of enhancers with a defined tissue specificity or conservation depth.	['Web application', 'Database portal']	[{'term': 'Data governance', 'uri': 'http://edamontology.org/topic_3571'}, {'term': 'Transcription factors and regulatory sites', 'uri': 'http://edamontology.org/topic_0749'}, {'term': 'Laboratory information management', 'uri': 'http://edamontology.org/topic_0607'}, {'term': 'Rare diseases', 'uri': 'http://edamontology.org/topic_3325'}]	[]	[]
pubmed	PubMed comprises more than 29 million citations for biomedical literature from MEDLINE, life science journals, and online books.	['Web application', 'Database portal']	[{'term': 'Biology', 'uri': 'http://edamontology.org/topic_3070'}, {'term': 'Medicine', 'uri': 'http://edamontology.org/topic_3303'}, {'term': 'Literature and language', 'uri': 'http://edamontology.org/topic_3068'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Data governance', 'uri': 'http://edamontology.org/topic_3571'}, {'term': 'Rare diseases', 'uri': 'http://edamontology.org/topic_3325'}]	[]	[]
findzebra	A search engine for rare diseases.	['Web application']	[{'term': 'Rare diseases', 'uri': 'http://edamontology.org/topic_3325'}, {'term': 'Medical informatics', 'uri': 'http://edamontology.org/topic_3063'}, {'term': 'Data governance', 'uri': 'http://edamontology.org/topic_3571'}]	[]	[]
pga	This package provides functions for construction of customized protein databases based on RNA-Seq data with/without genome guided, database searching, post-processing and report generation. This kind of customized protein database includes both the reference database (such as Refseq or ENSEMBL) and the novel peptide sequences form RNA-Seq data.	['Command-line tool', 'Library']	[{'term': 'RNA-seq', 'uri': 'http://edamontology.org/topic_3170'}, {'term': 'Proteomics experiment', 'uri': 'http://edamontology.org/topic_3520'}, {'term': 'Proteomics', 'uri': 'http://edamontology.org/topic_0121'}, {'term': 'Database management', 'uri': 'http://edamontology.org/topic_3489'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Data submission, annotation and curation', 'uri': 'http://edamontology.org/topic_0219'}, {'term': 'Data governance', 'uri': 'http://edamontology.org/topic_3571'}]	[{'data': {'term': 'sequence alignment (nucleic acid)', 'uri': 'http://edamontology.org/data_1383'}, 'format': {'term': 'gtf', 'uri': 'http://edamontology.org/format_2306'}}]	[{'data': {'term': 'sequence alignment (nucleic acid)', 'uri': 'http://edamontology.org/data_1383'}, 'format': {'term': 'gtf', 'uri': 'http://edamontology.org/format_2306'}}]
clima 2	Cell Line Integrated Molecular Authentication database and Identification tool. It represents a reference for validated molecular authentication of human cell lines independently from the platforms used.	['Web application', 'Database portal']	[{'term': 'Cell culture collection', 'uri': 'http://edamontology.org/topic_3340'}, {'term': 'Data governance', 'uri': 'http://edamontology.org/topic_3571'}, {'term': 'Human biology', 'uri': 'http://edamontology.org/topic_2815'}]	[{'data': {'term': 'email address', 'uri': 'http://edamontology.org/data_1691'}}]	[{'data': {'term': 'email address', 'uri': 'http://edamontology.org/data_1691'}}]
chipwig	Random access-enabling lossless and lossy compression method for ChIP-seq data.	['Library']	[{'term': 'ChIP-seq', 'uri': 'http://edamontology.org/topic_3169'}, {'term': 'Data governance', 'uri': 'http://edamontology.org/topic_3571'}, {'term': 'Laboratory information management', 'uri': 'http://edamontology.org/topic_0607'}]	[]	[]
