name	description	type	topic	input	output
canopus	CANOPUS is a tool for predicting compound classes directly from MS/MS. Because it does not depend on any database, CANOPUS is suitable for the classification of unknowns.	['Desktop application']	[{'term': 'Metabolomics', 'uri': 'http://edamontology.org/topic_3172'}, {'term': 'Proteomics experiment', 'uri': 'http://edamontology.org/topic_3520'}, {'term': 'Machine learning', 'uri': 'http://edamontology.org/topic_3474'}, {'term': 'Small molecules', 'uri': 'http://edamontology.org/topic_0154'}, {'term': 'Plant biology', 'uri': 'http://edamontology.org/topic_0780'}]	[]	[]
rnawre	"a resource of writers, readers and erasers of RNA modifications.

RNA modifications are involved in various kinds of cellular biological processes. Accumulated evidences have demonstrated that the functions of RNA modifications are determined by the effectors that can catalyze, recognize and remove RNA modifications. They are called 'writers', 'readers' and 'erasers'. The identification of RNA modification effectors will be helpful for understanding the regulatory mechanisms and biological functions of RNA modifications. In this work, we developed a database called RNAWRE that specially deposits RNA modification effectors. The current version of RNAWRE stored 2045 manually curated writers, readers and erasers for the six major kinds of RNA modifications, namely Cap, m1A, m6A, m5C, ψ and Poly A. The main modules of RNAWRE not only allow browsing and downloading the RNA modification effectors but also support the BLAST search of the potential RNA modification effectors in other species"	[]	[{'term': 'Functional, regulatory and non-coding RNA', 'uri': 'http://edamontology.org/topic_0659'}, {'term': 'RNA splicing', 'uri': 'http://edamontology.org/topic_3320'}, {'term': 'Cell biology', 'uri': 'http://edamontology.org/topic_2229'}, {'term': 'Literature and language', 'uri': 'http://edamontology.org/topic_3068'}]	[]	[]
rnasnap2	"Single-sequence and profile-based prediction of RNA solvent accessibility using dilated convolutional neural network.


RNA solvent accessibility, similar to protein solvent accessibility, reflects the structural regions that are accessible to solvents or other functional biomolecules, and plays an important role for structural and functional characterization. Unlike protein solvent accessibility, only a few tools are available for predicting RNA solvent accessibility despite the fact that millions of RNA transcripts have unknown structures and functions. Also, these tools have limited accuracy. Here, we have developed RNAsnap2 that employs a dilated convolutional neural network (Figure 1) with a new feature, based on predicted base-pairing probabilities from LinearPartition[4]."	[]	[{'term': 'Machine learning', 'uri': 'http://edamontology.org/topic_3474'}, {'term': 'Functional, regulatory and non-coding RNA', 'uri': 'http://edamontology.org/topic_0659'}, {'term': 'Gene expression', 'uri': 'http://edamontology.org/topic_0203'}, {'term': 'Structure prediction', 'uri': 'http://edamontology.org/topic_0082'}]	[]	[]
cancerliver	CancerLivER (Liver Cancer Expression Resource) is a database of liver cancer that maintains gene expression datasets and biomarkers curated from public repositories and literature respectively. It contains the following three modules for extracting and analyzing data.	['Database portal']	[{'term': 'Biomarkers', 'uri': 'http://edamontology.org/topic_3360'}, {'term': 'Oncology', 'uri': 'http://edamontology.org/topic_2640'}, {'term': 'Gene expression', 'uri': 'http://edamontology.org/topic_0203'}, {'term': 'Literature and language', 'uri': 'http://edamontology.org/topic_3068'}, {'term': 'Molecular interactions, pathways and networks', 'uri': 'http://edamontology.org/topic_0602'}]	[]	[]
buan	Bundle Analytics (BUAN) is a computational framework for investigating the shapes and profiles of brain pathways across populations.	['Workbench']	[{'term': 'Biomarkers', 'uri': 'http://edamontology.org/topic_3360'}, {'term': 'Neurobiology', 'uri': 'http://edamontology.org/topic_3304'}, {'term': 'Medical imaging', 'uri': 'http://edamontology.org/topic_3384'}, {'term': 'Statistics and probability', 'uri': 'http://edamontology.org/topic_2269'}, {'term': 'Molecular interactions, pathways and networks', 'uri': 'http://edamontology.org/topic_0602'}]	[]	[]
btyper3	BTyper3 is a command-line tool for taxonomically classifying Bacillus cereus group genomes using a novel, standardized nomenclature. Using BTyper3 to Assess the Congruency of a Proposed Taxonomic Framework for the Bacillus cereus group with Historical Typing Methods.	['Command-line tool']	[{'term': 'Whole genome sequencing', 'uri': 'http://edamontology.org/topic_3673'}, {'term': 'Phylogeny', 'uri': 'http://edamontology.org/topic_0084'}, {'term': 'Sequence assembly', 'uri': 'http://edamontology.org/topic_0196'}, {'term': 'Taxonomy', 'uri': 'http://edamontology.org/topic_0637'}, {'term': 'Small molecules', 'uri': 'http://edamontology.org/topic_0154'}]	[]	[]
bsm-arc	The Biological Structure Model Archive (BSM-Arc) aims to collect raw data obtained via in silico methods related to structural biology, such as computationally modeled 3D structures and molecular dynamics trajectories. Since BSM-Arc does not enforce a specific data format for the raw data, depositors are free to upload their data without any prior conversion. Besides uploading raw data, BSM-Arc enables depositors to annotate their data with additional explanations and figures. It is possible to recreate 3D scenes as shown in the corresponding scientific article in an interactive manner.	['Database portal']	[{'term': 'Molecular dynamics', 'uri': 'http://edamontology.org/topic_0176'}, {'term': 'Molecular modelling', 'uri': 'http://edamontology.org/topic_2275'}, {'term': 'Small molecules', 'uri': 'http://edamontology.org/topic_0154'}, {'term': 'Electron microscopy', 'uri': 'http://edamontology.org/topic_0611'}]	[]	[]
ripplenet	"A Recurrent Neural Network for Sharp Wave Ripple (SPW-R) Detection.

This repository contains files for RippleNet, a recurrent neural network with LSTM layers for detecting sharp-wave ripples in single-channel LFP signals measured in hippocampus CA1."	[]	[{'term': 'Machine learning', 'uri': 'http://edamontology.org/topic_3474'}, {'term': 'Biomarkers', 'uri': 'http://edamontology.org/topic_3360'}, {'term': 'Statistics and probability', 'uri': 'http://edamontology.org/topic_2269'}, {'term': 'Imaging', 'uri': 'http://edamontology.org/topic_3382'}]	[]	[]
brassicaedb	The BrassicaEDB provides comprehensive gene expression profile information and a user-friendly visualization interface for rapeseed researchers.	[]	[{'term': 'RNA-Seq', 'uri': 'http://edamontology.org/topic_3170'}, {'term': 'Gene expression', 'uri': 'http://edamontology.org/topic_0203'}, {'term': 'Plant biology', 'uri': 'http://edamontology.org/topic_0780'}, {'term': 'Genotype and phenotype', 'uri': 'http://edamontology.org/topic_0625'}, {'term': 'Gene transcripts', 'uri': 'http://edamontology.org/topic_3512'}]	[]	[]
bp4rnaseq	An automated pipe for reproducible RNA-seq analysis with the minimal efforts from researchers. You only need to provide the taxa name and the accession code of RNA-seq samples deposited in the National Center for Biotechnology Information (NCBI).	['Library', 'Workflow']	[{'term': 'RNA-Seq', 'uri': 'http://edamontology.org/topic_3170'}, {'term': 'Gene expression', 'uri': 'http://edamontology.org/topic_0203'}, {'term': 'Workflows', 'uri': 'http://edamontology.org/topic_0769'}, {'term': 'Sample collections', 'uri': 'http://edamontology.org/topic_3277'}, {'term': 'Plant biology', 'uri': 'http://edamontology.org/topic_0780'}]	[]	[]
reuma.pt	"the Portuguese vasculitis registry.

Para aceder à versão Silverlight da Área dos médicos clique na imagem abaixo. A versão que não necessita do plugin Silverlight está disponível no menu Reuma.pt acima.

Para aceder à Área dos farmacêuticos."	[]	[{'term': 'Musculoskeletal medicine', 'uri': 'http://edamontology.org/topic_3416'}, {'term': 'Rare diseases', 'uri': 'http://edamontology.org/topic_3325'}, {'term': 'Surgery', 'uri': 'http://edamontology.org/topic_3421'}, {'term': 'Public health and epidemiology', 'uri': 'http://edamontology.org/topic_3305'}, {'term': 'Biobank', 'uri': 'http://edamontology.org/topic_3337'}]	[]	[]
retip	"Retention Time Prediction for Compound Annotation in Untargeted Metabolomics.

Retip is an R package for predicting Retention Time (RT) for small molecules in a high pressure liquid chromatography (HPLC) Mass Spectrometry analysis.

Retip - Retention Time prediction for Metabolomics.

Retip: Retention Time Prediction for Compound Annotation in Untargeted Metabolomics Paolo Bonini, Tobias Kind, Hiroshi Tsugawa, Dinesh Kumar Barupal, and Oliver Fiehn Analytical Chemistry 2020 92 (11), 7515-7522 DOI: 10.1021/acs.analchem.9b05765."	[]	[{'term': 'Metabolomics', 'uri': 'http://edamontology.org/topic_3172'}, {'term': 'Proteomics experiment', 'uri': 'http://edamontology.org/topic_3520'}, {'term': 'Machine learning', 'uri': 'http://edamontology.org/topic_3474'}, {'term': 'Cheminformatics', 'uri': 'http://edamontology.org/topic_2258'}, {'term': 'Chemistry', 'uri': 'http://edamontology.org/topic_3314'}]	[]	[]
rescript	"Reproducible sequence taxonomy reference database management for the masses.

REference Sequence annotation and CuRatIon Pipeline.

RESCRIPt is a python 3 package to support a variety of operations for managing and curating reference sequence databases, DNA/RNA sequence data, and taxonomic data."	[]	[{'term': 'Taxonomy', 'uri': 'http://edamontology.org/topic_0637'}, {'term': 'Database management', 'uri': 'http://edamontology.org/topic_3489'}, {'term': 'Metagenomics', 'uri': 'http://edamontology.org/topic_3174'}, {'term': 'Microbial ecology', 'uri': 'http://edamontology.org/topic_3697'}, {'term': 'Sequencing', 'uri': 'http://edamontology.org/topic_3168'}]	[]	[]
regals	"a general method to deconvolve X-ray scattering data from evolving mixtures.

Software package for small angle X-ray scattering (SAXS) mixture deconvolution by REGularized Alternating Least Squares. It has been applied to datasets from chromatography-coupled SAXS, time-resolved SAXS, and equilibrium titrations. See our paper (Meisburger, Xu, & Ando, 2020) for details.

matlab/ - MATLAB implementation of the REGALS library.

The Python implementation was developed in Python 3. The REGALS library requires numpy and scipy. The demos use Jupyter notebooks with h5py for data import and matplotlib for plotting. The code has been tested with the following versions:."	[]	[{'term': 'X-ray diffraction', 'uri': 'http://edamontology.org/topic_2828'}, {'term': 'Proteomics experiment', 'uri': 'http://edamontology.org/topic_3520'}, {'term': 'Statistics and probability', 'uri': 'http://edamontology.org/topic_2269'}]	[]	[]
intertads	"Integration of Multi-Omics Data on Topological Associated Domains.

InterTADs is an open-source tool written in R, for integrating multi-omics data (e.g. DNA methylation, expression, mutation) from the same physical source (e.g. patient) taking into account the chromatin configuration of the genome, i.e. the topologically associating domains (TADs)."	['Library']	[{'term': 'Epigenetics', 'uri': 'http://edamontology.org/topic_3295'}, {'term': 'Gene expression', 'uri': 'http://edamontology.org/topic_0203'}, {'term': 'Genetic variation', 'uri': 'http://edamontology.org/topic_0199'}, {'term': 'Physics', 'uri': 'http://edamontology.org/topic_3318'}, {'term': 'Genomics', 'uri': 'http://edamontology.org/topic_0622'}]	[]	[]
icscb	"Data portal for standardized stem cell information.

ICSCB is operated by CiRA,Kyoto University. It is an Intergerated Collection of Stem Cell Bank data by miacarm, standard data format for all the stem cell lines with minimum necessary information for research in regenerative medicine.

Searching fields (16641 cell lines).

All SKIP ( 5615 ) RIKEN BRC ( 4111 ) eagle-i ( 3548 ) hPSCreg ( 3367 )."	['Web service']	[{'term': 'Regenerative medicine', 'uri': 'http://edamontology.org/topic_3395'}, {'term': 'Cell biology', 'uri': 'http://edamontology.org/topic_2229'}, {'term': 'Medicine', 'uri': 'http://edamontology.org/topic_3303'}, {'term': 'Epigenomics', 'uri': 'http://edamontology.org/topic_3173'}, {'term': 'Immunoproteins and antigens', 'uri': 'http://edamontology.org/topic_2830'}]	[]	[]
bmrb	The Biological Magnetic Resonance Data Bank (BioMagResBank or BMRB) is a repository for data from NMR Spectroscopy on proteins, peptides, nucleic acids, and other biomolecules.	['Database portal']	[{'term': 'NMR', 'uri': 'http://edamontology.org/topic_0593'}, {'term': 'Small molecules', 'uri': 'http://edamontology.org/topic_0154'}, {'term': 'Metabolomics', 'uri': 'http://edamontology.org/topic_3172'}, {'term': 'Biophysics', 'uri': 'http://edamontology.org/topic_3306'}, {'term': 'Chemistry', 'uri': 'http://edamontology.org/topic_3314'}]	[]	[]
