name	description	type	topic	input	output
brian2genn	Brian2GeNN is a software package that enables the users to make use of GeNN GPU acceleration when developing their models in Brian, without requiring any technical knowledge about GPUs, C++ or GeNN. The new Brian2GeNN software uses a pipeline of code generation to translate Brian scripts into C++ code that can be used as input to GeNN, and subsequently can be run on suitable NVIDIA GPU accelerators.	[]	[{'term': 'Machine learning', 'uri': 'http://edamontology.org/topic_3474'}, {'term': 'Neurobiology', 'uri': 'http://edamontology.org/topic_3304'}, {'term': 'Literature and language', 'uri': 'http://edamontology.org/topic_3068'}]	[]	[]
retip	"Retention Time Prediction for Compound Annotation in Untargeted Metabolomics.

Retip is an R package for predicting Retention Time (RT) for small molecules in a high pressure liquid chromatography (HPLC) Mass Spectrometry analysis.

Retip - Retention Time prediction for Metabolomics.

Retip: Retention Time Prediction for Compound Annotation in Untargeted Metabolomics Paolo Bonini, Tobias Kind, Hiroshi Tsugawa, Dinesh Kumar Barupal, and Oliver Fiehn Analytical Chemistry 2020 92 (11), 7515-7522 DOI: 10.1021/acs.analchem.9b05765."	[]	[{'term': 'Metabolomics', 'uri': 'http://edamontology.org/topic_3172'}, {'term': 'Proteomics experiment', 'uri': 'http://edamontology.org/topic_3520'}, {'term': 'Machine learning', 'uri': 'http://edamontology.org/topic_3474'}, {'term': 'Cheminformatics', 'uri': 'http://edamontology.org/topic_2258'}, {'term': 'Chemistry', 'uri': 'http://edamontology.org/topic_3314'}]	[]	[]
repeatfs	"a file system providing reproducibility through provenance and automation.

RepeatFS is a Python, FUSE-based file system with the goal of promoting scientific informatics reproducibility by recording all file and IO operations during analysis. This provenance record can then be exported and used to replicate the analysis on other systems. During replication, RepeatFS will verify that all software versions, command line parameters, and other relevant attributes match, and will report out any deviation from the original record. While other provenance software often involves learning scripting languages or migrating your workflow to a confined platform, RepeatFS operates invisibily at the file system level, and is compatible with virtually all Linux command-line software."	[]	[{'term': 'Informatics', 'uri': 'http://edamontology.org/topic_0605'}, {'term': 'Transcription factors and regulatory sites', 'uri': 'http://edamontology.org/topic_0749'}, {'term': 'Sequence assembly', 'uri': 'http://edamontology.org/topic_0196'}]	[]	[]
iodata	"A python library for reading, writing, and converting computational chemistry file formats and generating input files.

IOData is a HORTON 3 module for input/output of quantum chemistry file formats. Documentation is here: https://iodata.readthedocs.io/en/latest/index.html."	['Command-line tool']	[{'term': 'Chemistry', 'uri': 'http://edamontology.org/topic_3314'}, {'term': 'Molecular dynamics', 'uri': 'http://edamontology.org/topic_0176'}, {'term': 'Cheminformatics', 'uri': 'http://edamontology.org/topic_2258'}]	[]	[]
reactioncode	"Format for Reaction Searching, Analysis, Classification, Transform, and Encoding/Decoding.

ReactionCode is a new versatile format for searching, analysis, classification, transform, and encoding decoding of reactions."	[]	[{'term': 'Machine learning', 'uri': 'http://edamontology.org/topic_3474'}, {'term': 'Chemistry', 'uri': 'http://edamontology.org/topic_3314'}, {'term': 'Molecular biology', 'uri': 'http://edamontology.org/topic_3047'}, {'term': 'Small molecules', 'uri': 'http://edamontology.org/topic_0154'}]	[]	[]
pyneal	"Pyneal is an open source software package to support real-time functional magnetic resonance imaging (fMRI). It is entirely Python-based and depends exclusively on free, open source neuroimaging libraries.

This repository contains a set of tutorials to accompany the Pyneal real-time fMRI software package. For more information on Pyneal, please see Pyneal Docs.

In order to help with the initial setup, as well as test any analysis scripts and network communications later on, Pyneal includes a suite of simulation tools that mimic various inputs and outputs along the data flow path.

This respository contains representative data from GE, Siemens, and Philips scanning environments. For a detailed, step-by-step walk-through on setting up and running Pyneal across each of these environments, please see link above."	[]	[{'term': 'Medical imaging', 'uri': 'http://edamontology.org/topic_3384'}, {'term': 'MRI', 'uri': 'http://edamontology.org/topic_3444'}, {'term': 'Workflows', 'uri': 'http://edamontology.org/topic_0769'}, {'term': 'Neurobiology', 'uri': 'http://edamontology.org/topic_3304'}]	[]	[]
pygenometracks	"reproducible plots for multivariate genomic data sets.

Standalone program and library to plot beautiful genome browser tracks.

pyGenomeTracks aims to produce high-quality genome browser tracks that are highly customizable. Currently, it is possible to plot:."	[]	[{'term': 'Model organisms', 'uri': 'http://edamontology.org/topic_0621'}, {'term': 'Imaging', 'uri': 'http://edamontology.org/topic_3382'}, {'term': 'Workflows', 'uri': 'http://edamontology.org/topic_0769'}]	[]	[]
pybedgraph	"A Python package for fast operations on 1-dimensional genomic signal tracks.

Finds the mean, approx. mean, max, min, coverage, or standard deviation for a given interval in a bedGraph file.

Partly written in Cython for speed improvements."	[]	[{'term': 'ChIP-seq', 'uri': 'http://edamontology.org/topic_3169'}, {'term': 'RNA-Seq', 'uri': 'http://edamontology.org/topic_3170'}, {'term': 'Chromosome conformation capture', 'uri': 'http://edamontology.org/topic_3940'}]	[]	[]
h4concur	"quick and robust calculation of codon usage from ribosome profiling data.

CONCUR (Codon counts from Ribo-seq) is a tool for calculating codon usage from Ribo-seq data.

These instructions will allow you to run CONCUR on your computer. CONCUR is a command line tool developed for Linux and macOS.

You will need Perl and bedtools to be installed in your system."	['Command-line tool']	[{'term': 'Gene expression', 'uri': 'http://edamontology.org/topic_0203'}, {'term': 'Cell biology', 'uri': 'http://edamontology.org/topic_2229'}, {'term': 'Gene transcripts', 'uri': 'http://edamontology.org/topic_3512'}, {'term': 'Model organisms', 'uri': 'http://edamontology.org/topic_0621'}]	[]	[]
atomium	A Python library for parsing, manipulating and saving PDB, mmCIF and MMTF file formats.	['Library']	[{'term': 'NMR', 'uri': 'http://edamontology.org/topic_0593'}, {'term': 'Proteins', 'uri': 'http://edamontology.org/topic_0078'}]	[]	[]
