name	description	type	topic	input	output
bedshift	Bedshift is a tool for randomly perturbing BED file regions. The perturbations supported on regions are shift, drop, add, cut, and merge. This tool is particularly useful for creating test datasets for various tasks, since there often is no ground truth dataset to compare to. By perturbing a file, a pipeline or analysis can be run on both the perturbed file and the original file, then be compared.	['Command-line tool', 'Library']	[{'term': 'ChIP-seq', 'uri': 'http://edamontology.org/topic_3169'}, {'term': 'Workflows', 'uri': 'http://edamontology.org/topic_0769'}, {'term': 'Genomics', 'uri': 'http://edamontology.org/topic_0622'}]	[]	[]
beadnet	BeadNet is a U-Net-based software for the detection and counting of small poorly-resolved objects in images	['Desktop application']	[{'term': 'Imaging', 'uri': 'http://edamontology.org/topic_3382'}, {'term': 'Workflows', 'uri': 'http://edamontology.org/topic_0769'}, {'term': 'Experimental design and studies', 'uri': 'http://edamontology.org/topic_3678'}]	[]	[]
bco app	The BCO App is a Shiny app to create, validate, and browse BioCompute Objects. It is a tool for generating BioCompute Objects from next-generation sequencing workflows and computations.	['Web application']	[{'term': 'Workflows', 'uri': 'http://edamontology.org/topic_0769'}, {'term': 'Sequencing', 'uri': 'http://edamontology.org/topic_3168'}, {'term': 'Imaging', 'uri': 'http://edamontology.org/topic_3382'}]	[]	[]
batchbench	BatchBench is a Nextflow workflow for running the following scRNA-Seq data batch effect correction methods. The pieline is run through the bash script. Here the profiles, data directory and output directory are specified. Nextflow can generate an execution report, a timeline and a flowchart which output directory is specified here. Additionally, the -resume command line option allows for the continuation of a workflow execution.	['Script', 'Workflow']	[{'term': 'RNA-Seq', 'uri': 'http://edamontology.org/topic_3170'}, {'term': 'Workflows', 'uri': 'http://edamontology.org/topic_0769'}, {'term': 'Gene expression', 'uri': 'http://edamontology.org/topic_0203'}, {'term': 'Cell biology', 'uri': 'http://edamontology.org/topic_2229'}]	[]	[]
base	BASE is a workflow to integrate non-ubiquitous genes in comparative genomics analyses for selection. It is used to built to ease the inference and interpretation of selection regimes in the context of comparative genomics. While the majority of these analyses are restricted to ortholog groups of ubiquitous genes - i.e. genes which are present in all the species considered - BASE allows to integrate ortholog groups of non-ubiquitous genes - i.e. genes which are not present in all the species considered.	['Script']	[{'term': 'Workflows', 'uri': 'http://edamontology.org/topic_0769'}, {'term': 'Phylogeny', 'uri': 'http://edamontology.org/topic_0084'}, {'term': 'Genetics', 'uri': 'http://edamontology.org/topic_3053'}]	[]	[]
quantpipe	"A User-Friendly Pipeline Software Tool for DIA Data Analysis Based on the OpenSWATH-PyProphet-TRIC Workflow.

Contribute to tachengxmu/QuantPipe development by creating an account on GitHub."	[]	[{'term': 'Proteomics experiment', 'uri': 'http://edamontology.org/topic_3520'}, {'term': 'Workflows', 'uri': 'http://edamontology.org/topic_0769'}, {'term': 'Small molecules', 'uri': 'http://edamontology.org/topic_0154'}, {'term': 'Proteomics', 'uri': 'http://edamontology.org/topic_0121'}]	[]	[]
qsiprep	"An integrative platform for preprocessing and reconstructing diffusion MRI.

Data and Figures for the QSIPrep manuscript.

Data and provenance for testing QSIPrep.

This repository contains the code and data used to process the reconstructions and calculate the qc scores for the QSIPrep paper. It contains notes on how and where each data was processed."	[]	[{'term': 'MRI', 'uri': 'http://edamontology.org/topic_3444'}, {'term': 'Workflows', 'uri': 'http://edamontology.org/topic_0769'}, {'term': 'Data submission, annotation and curation', 'uri': 'http://edamontology.org/topic_0219'}, {'term': 'Neurobiology', 'uri': 'http://edamontology.org/topic_3304'}]	[]	[]
qsar-co-x	"An Open Source Toolkit for Multi-Target QSAR Modelling.

QSAR-Co software is an open source standalone tool, which is designed to develop robust classification-based QSAR models.

There are two modules available in the software, i.e., 1) Model Development module and 2) Screen Predict module."	[]	[{'term': 'Statistics and probability', 'uri': 'http://edamontology.org/topic_2269'}, {'term': 'Workflows', 'uri': 'http://edamontology.org/topic_0769'}, {'term': 'Compound libraries and screening', 'uri': 'http://edamontology.org/topic_3343'}, {'term': 'Cheminformatics', 'uri': 'http://edamontology.org/topic_2258'}, {'term': 'Small molecules', 'uri': 'http://edamontology.org/topic_0154'}]	[]	[]
qmcpack	"Advances in the development, efficiency, and application of auxiliary field and real-space variational and diffusion quantum Monte Carlo.

Effective core potentials (pseudopotentials) in formats suitable for QMCPACK and many quantum chemical and electronic structure codes are available at https://pseudopotentiallibrary.org."	[]	[{'term': 'Mathematics', 'uri': 'http://edamontology.org/topic_3315'}, {'term': 'Chemistry', 'uri': 'http://edamontology.org/topic_3314'}, {'term': 'Workflows', 'uri': 'http://edamontology.org/topic_0769'}, {'term': 'Computer science', 'uri': 'http://edamontology.org/topic_3316'}, {'term': 'NMR', 'uri': 'http://edamontology.org/topic_0593'}]	[]	[]
qifp	a web-based tool for utilizing, sharing, and building image-processing pipelines.	[]	[{'term': 'Medical imaging', 'uri': 'http://edamontology.org/topic_3384'}, {'term': 'Machine learning', 'uri': 'http://edamontology.org/topic_3474'}, {'term': 'Workflows', 'uri': 'http://edamontology.org/topic_0769'}, {'term': 'Tomography', 'uri': 'http://edamontology.org/topic_3452'}, {'term': 'Biomarkers', 'uri': 'http://edamontology.org/topic_3360'}]	[]	[]
