Tools	Score	Curation	Category	Licensing 	Description	URL	bio.tools URL	
OLS	1	Manual	Ontology management	Open Source	The Ontology for Biomedical Investigations (OBI) is build in a collaborative, international effort and will serve as a resource for annotating biomedical investigations, including the study design, protocols and instrumentation used, the data generated and the types of analysis performed on the data. This ontology arose from the Functional Genomics Investigation Ontology (FuGO) and will contain both terms that are common to all biomedical investigations, including functional genomics investigations and those that are more domain specific.	https://www.ebi.ac.uk/ols/ontologies/obi		
OXO	1	Manual	Ontology mapping	Open Source	OxO is a service for finding mappings (or cross-references) between terms from ontologies, vocabularies and coding standards. OxO imports mappings from a variety of sources including the Ontology Lookup Service and a subset of mappings provided by the UMLS. We're still developing the service so please get in touch if you have any feedback.	https://www.ebi.ac.uk/spot/oxo/		
Zooma	1	Manual	Text annotation	Open Source	Zooma is a tool for mapping free text annotations to ontology term based on a curated repository of annotation knowledge. Where mappings are not found in the curated respository one or more ontologies can be selected from the Ontology Lookup Service to increase coverage. For example if you want to map GWAS annotations select the GWAS datasource and a common disease ontology such as EFO or DOID to maximise coverage when terms have no curated mappings. Use the text box to find possible ontology mappings for free text terms in the ZOOMA repository of curated annotation knowledge. You can add one term (e.g. 'Homo sapiens') per line. If you also have a type for your term (e.g. 'organism'), put this after the term, separated by a tab. If you are new to ZOOMA, take a look at our getting started guide.	https://www.ebi.ac.uk/spot/zooma/		
Zooma	1	Manual	Entity and concept recognition	Open Source	Zooma is a tool for mapping free text annotations to ontology term based on a curated repository of annotation knowledge. Where mappings are not found in the curated respository one or more ontologies can be selected from the Ontology Lookup Service to increase coverage. For example if you want to map GWAS annotations select the GWAS datasource and a common disease ontology such as EFO or DOID to maximise coverage when terms have no curated mappings. Use the text box to find possible ontology mappings for free text terms in the ZOOMA repository of curated annotation knowledge. You can add one term (e.g. 'Homo sapiens') per line. If you also have a type for your term (e.g. 'organism'), put this after the term, separated by a tab. If you are new to ZOOMA, take a look at our getting started guide.	https://www.ebi.ac.uk/spot/zooma/		
FAIRsharing	1	Manual	Ontology management	Open Source	A curated, informative and educational resource on data and metadata standards, inter-related to databases and data policies.	https://fairsharing.org/		
OBO foundry	1	Manual	Ontology management	Open Source	The mission of the OBO Foundry is to develop a family of interoperable ontologies that are both logically well-formed and scientifically accurate. To achieve this, OBO Foundry participants follow and contribute to the development of an evolving set of principles including open use, collaborative development, non-overlapping and strictly-scoped content, and common syntax and relations, based on ontology models that work well, such as the Operations Committee with Editorial, Technical and Outreach working groups.	http://www.obofoundry.org/		
Ontobee	1	Manual	Ontology management	Open Source	Ontobee: A linked data server designed for ontologies. Ontobee is aimed to facilitate ontology data sharing, visualization, query, integration, and analysis. Ontobee dynamically dereferences and presents individual ontology term URIs to (i) HTML web pages for user-friendly web browsing and navigation, and to (ii) RDF source code for Semantic Web applications. Ontobee is the default linked data server for most OBO Foundry library ontologies. Ontobee has also been used for many non	http://www.ontobee.org/		
Aber-OWL	1	Manual	Ontology management	Open Source	Type any term or phrase to search the AberOWL ontology repository for a class with label (try pancreas), class description containing searched phrase or part of it (try sugar binding GO), using class OBO ID (try PATO:0001234), for ontologies by acronym (try ECO) or by phrase part of ontology description (try integrated upper ontology,infectious disease, or pathology), or perform a Description Logic query (try 'part of' some 'apoptotic process' ):	http://aber-owl.net/#/		
OntoMaton	1	Manual	Ontology mapping	Open Source	OntoMaton facilitates ontology search and tagging functionalities within Google Spreadsheets. It has been developed by the ISA Team at the University of Oxford's e-Research Centre. 	https://github.com/ISA-tools/OntoMaton		
eNanoMapper Slimmer	1	Manual	Ontology mapping	Open Source	Slimmer is a slim tool to slim ontologies as part of ontology integration. It allows users to provide configuration files that specify which parts of an ontology should be kept and/or removed, allowing to just select parts of the ontology you like. Rewiring the ontology is part of the features, allowing you to define new super terms.	https://github.com/enanomapper/slimmer		
ROBOT	1	Manual	Ontology engineering	Open Source	ROBOT is a tool for working with Open Biomedical Ontologies. It can be used as a command-line tool or as a library for any language on the Java Virtual Machine.	http://robot.obolibrary.org/		
