Tool,keywords_score,Description,Topics,Type,Citations,URL,bio.tools URL,keyword_rank,citations_rank,Score
modrefiner,1.000,"An algorithm for atomic-level, high-resolution protein structure refinement, which can start from either C-alpha trace, main-chain model or full-atomic model. Both side-chain and backbone atoms are completely flexible during structure refinement simulations, where conformational search is guided by a composite of physics- and knowledge-based force field.","['Protein structure analysis', 'Structure analysis', 'Molecular modelling']",['Command-line tool'],283.0,http://www.mybiosoftware.com/modrefiner-20111024-high-resolution-protein-structure-refinement.html,https://bio.tools/modrefiner,160.0,156.0,158.4
genomecrispr,1.000,"Database for high-throughput screening experiments performed by using the CRISPR/Cas9 system. A dynamic web interface guides users through the process of finding information about published CRISPR screens. The database holds detailed data about observed hits and phenotypes. Moreover, it provides knowledge about performance of individual single guide RNAs (sgRNAs) used under various experimental conditions.","['Genotype and phenotype', 'Functional genomics']",['Database portal'],27.0,http://genomecrispr.dkfz.de,https://bio.tools/genomecrispr,160.0,141.0,152.4
hiv-assist,1.000,"Online, Educational, Clinical Decision Support Tool to Guide Patient-Centered ARV Regimen Selection | HIV-ASSIST (HIV Antiretroviral Selection Support and Interactive Search Tool) is a web-based platform designed at Johns Hopkins University to assist and educate clinicians in personalizing ART regimens for their patients | HIV-ASSIST is an online, interactive, educational tool to inform clinical decision-making for ARV selection",[],['Database portal'],0.0,,https://bio.tools/hiv-assist,160.0,112.0,140.8
c-i-tasser,1.000,Deep-learning contact-map guided protein structure prediction in CASP13 | contact-guided protein structure prediction | C-I-TASSER (Contact-guided Iterative Threading ASSEmbly Refinement) is a composite approach that uses contact information to enhance the accuracy of protein structure and function predictions | [View example output] [Check previous jobs] [Server statistics] [Help] [Forum],"['Protein folds and structural domains', 'Structure prediction', 'Transcription factors and regulatory sites']",[],0.0,,https://bio.tools/c-i-tasser,160.0,112.0,140.8
clustal omega (ebi),1.000,Multiple sequence alignment using guide trees and HMM profile-profile techniques.,['Sequence analysis'],['Web application'],0.0,http://www.ebi.ac.uk/support/,https://bio.tools/clustal omega (ebi),160.0,112.0,140.8
gs-preprocess,1.000,"Containerized GUIDE-seq Data Analysis Tools with Diverse Sequencer Compatibility.

GS-Preprocess is a one-line, 6-argument pipeline that generates input data for the GUIDEseq Bioconductor package (https://doi.org/doi:10.18129/B9.bioc.GUIDEseq) from raw Illumina sequencer output. For off-target profiling, Bioconductor GUIDEseq only requires a 2-line guideRNA fasta, demultiplexed BAM files of ""plus""- and ""minus""-strands, and Unique Molecular Index (UMI) references for each read.

Expected Runtime and Resource Usage.

Sample Bioconductor GUIDEseq Input.","['Sequencing', 'Workflows', 'Probes and primers']",['Command-line tool'],0.0,https://github.com/umasstr/gs-preprocess,https://bio.tools/gs-preprocess,160.0,112.0,140.8
snoscan,1.000,Snoscan allows you to search for C/D box methylation guide snoRNA (small nucleolar RNA) genes in a genomic sequence,"['Methylated DNA immunoprecipitation', 'RNA', 'Functional, regulatory and non-coding RNA', 'Epigenetics']",['Web application'],349.0,,https://bio.tools/snoscan,160.0,157.0,158.8
qupe,1.000,"Web application to support the analysis and integration of even complex mass spectrometry-based proteomics experiments. It guides through the process of protein identification, quantification and statistical evaluation of multivariate experimental setups featuring data visualization and normalization methods, significance tests, PCA and cluster analysis. It provides various methods for the calculation of protein abundance ratios from metabolically stable-isotope labeled samples.","['Proteomics experiment', 'Proteomics']",['Workbench'],34.0,,https://bio.tools/qupe,160.0,143.0,153.2
crispy-pop,1.000,CRISpy-pop is a web application that generates and filters guide RNA sequences for CRISPR/Cas9 genome editing. This tool focuses on generating guide RNA sequences for Yeast and Bacterial species used in bioenergy research.,"['Model organisms', 'RNA', 'Genetic engineering', 'Population genomics', 'Sequencing']",['Web application'],0.0,https://github.com/GLBRC/CRISpy-pop/,https://bio.tools/crispy-pop,160.0,112.0,140.8
genfam,1.000,"A web application and database for gene family-based classification and functional enrichment analysis.

Genome-scale studies using high-throughput sequencing (HTS) technologies generate substantial lists of differentially expressed genes under different experimental conditions. These gene lists need to be further mined to narrow down biologically relevant genes and associated functions in order to guide downstream functional genetic analyses. A popular approach is to determine statistically overrepresented genes in a user-defined list through enrichment analysis tools, which rely on functional annotations of genes based on Gene Ontology (GO) terms. Here, we propose a new computational approach, GenFam, which allows annotation, classification, and enrichment of genes based on their gene family, thus simplifying identification of candidate gene families and associated genes that may be relevant to the query.","['RNA-Seq', 'Ontology and terminology', 'Gene and protein families', 'Gene expression', 'Plant biology']",['Command-line tool'],1.0,https://reneshbedre.github.io/blog/genfam.html,https://bio.tools/genfam,160.0,119.0,143.6
