Tool,keywords_score,Description,Topics,Type,Citations,URL,bio.tools URL,keyword_rank,citations_rank,Score
biobert,0.750,"A pre-trained biomedical language representation model for biomedical text mining | BioBERT: a pre-trained biomedical language representation model | This repository provides pre-trained weights of BioBERT, a language representation model for biomedical domain, especially designed for biomedical text mining tasks such as biomedical named entity recognition, relation extraction, question answering, etc. Please refer to our paper BioBERT: a pre-trained biomedical language representation model for biomedical text mining for more details | This repository provides fine-tuning codes of BioBERT, a language representation model for biomedical domain, especially designed for biomedical text mining tasks such as biomedical named entity recognition, relation extraction, question answering, etc. Please refer to our paper BioBERT: a pre-trained biomedical language representation model for biomedical text mining for more details. This project is done by DMIS-Lab","['Medicine', 'Ontology and terminology', 'Natural language processing']",[],92.0,https://github.com/dmis-lab/biobert,https://bio.tools/biobert,612.0,514.0,572.8
ppr-ssm,0.688,"personalized PageRank and semantic similarity measures for entity linking.

BACKGROUND:Biomedical literature concerns a wide range of concepts, requiring controlled vocabularies to maintain a consistent terminology across different research groups. However, as new concepts are introduced, biomedical literature is prone to ambiguity, specifically in fields that are advancing more rapidly, for example, drug design and development. Entity linking is a text mining task that aims at linking entities mentioned in the literature to concepts in a knowledge base. For example, entity linking can help finding all documents that mention the same concept and improve relation extraction methods. Existing approaches focus on the local similarity of each entity and the global coherence of all entities in a document, but do not take into account the semantics of the domain. RESULTS:We propose a method, PPR-SSM, to link entities found in documents to concepts from domain-specific ontologies","['Imaging', 'Natural language processing', 'Data mining', 'Genotype and phenotype', 'Ontology and terminology']",[],2.0,,https://bio.tools/ppr-ssm,611.0,350.0,506.59999999999997
hpo2go,0.688,"Prediction of human phenotype ontology term associations using cross ontology annotation co-occurrences.

Mapping between HPO and GO terms.

If you find HPO2GO useful, please consider citing this publication:.

Mapping between Human Phenotype Ontology (HPO) and Gene Ontology (GO) terms for the prediction of gene/protein - function - phenotype - disease associations.

In this study, a novel approach is proposed for the identification of relationships between biomedical entities by automatically mapping phenotypic abnormality defining HPO terms with biomolecular function defining GO terms, where each association indicates the occurrence of the abnormality due to the loss of the biomolecular function expressed by the corresponding GO term","['Pathology', 'Protein interactions', 'Genotype and phenotype', 'Ontology and terminology', 'Gene expression']",['Command-line tool'],0.0,,https://bio.tools/hpo2go,611.0,315.0,492.59999999999997
vapur,0.625,"A Search Engine to Find Related Protein.

Vapur is an online entity-oriented search engine for the COVID-19 anthology. Vapur is empowered with a semantic inverted index that is created through named entity recognition and relation extraction on CORD-19 abstracts.

In order to run scripts from scratch, please follow these:.

Enter a chemical or protein/gene and let Vapur find related bio-molecules in 150,000 COVID-19 publications!.","['Pathology', 'Ontology and terminology', 'Natural language processing', 'Enzymes']",[],0.0,https://github.com/boun-tabi/vapur,https://bio.tools/vapur,609.0,315.0,491.4
belief,0.625,BELIEF (Biological Expression Language Information Extraction WorkFlow) is a semi-automated workflow for BEL network creation. It embeds an information extraction workflow with state-of-the-art named entity recognition (NER) and relation extraction (RE) methods.,"['Natural language processing', 'Machine learning', 'Workflows', 'Genotype and phenotype', 'Ontology and terminology']",['Web application'],0.0,,https://bio.tools/belief,609.0,315.0,491.4
matscholar,0.625,Named Entity Recognition and Normalization Applied to Large-Scale Information Extraction from the Materials Science Literature | Public API for the Materials Scholar database | matscholar (Materials Scholar) is a Python library for materials-focused natural language processing (NLP). It is maintained by a team of researchers at UC Berkeley and Lawrence Berkeley National Laboratory as part of a project funded by the Toyota Research Institute,"['Chemistry', 'Ontology and terminology', 'Natural language processing']",['Command-line tool'],0.0,https://github.com/materialsintelligence/matscholar,https://bio.tools/matscholar,609.0,315.0,491.4
collabonet,0.625,Collaboration of deep neural networks for biomedical named entity recognition.,"['Ontology and terminology', 'Natural language processing', 'Machine learning']",['Command-line tool'],11.0,,https://bio.tools/collabonet,609.0,409.0,529.0
calchas,0.575,"A web based framework that takes advantage of domain specific ontologies, and Natural Language Processing, aiming to empower exploration of biomedical resources via semantic-based querying and search. The NLP engine analyzes the input free-text query and translates it into targeted queries with terms from the underlying ontology. Each query is passed to the semantically-annotated tools repository, and based on similarity matches, it ranks the available resources.","['Medical informatics', 'Ontology and terminology', 'Natural language processing', 'Bioinformatics']",['Web application'],18.0,http://calchas.ics.forth.gr,https://bio.tools/calchas,605.0,430.0,535.0
qtl tableminer++(qtm),0.575,It is a command-line tool to retrieve and semantically annotate results obtained from QTL mapping experiments. It takes full-text articles from the Europe PMC repository as input and outputs the extracted QTLs into a relational database (SQLite) and text file (CSV).,['Ontology and terminology'],['Command-line tool'],1.0,,https://bio.tools/qtl tableminer++(qtm),605.0,338.0,498.20000000000005
thbp,0.562,"Mapping anatomical related entities to human body parts based on wikipedia in discharge summaries | *: Background Consisting of dictated free-text documents such as discharge summaries, medical narratives are widely used in medical natural language processing. Relationships between anatomical entities and human body parts are crucial for building medical text mining applications. To achieve this, we establish a mapping system consisting of a Wikipedia-based scoring algorithm and a named entity normalization method (NEN). The mapping system makes full use of information available on Wikipedia, which is a comprehensive Internet medical knowledge base","['Anatomy', 'Ontology and terminology', 'Natural language processing']",[],0.0,,https://bio.tools/thbp,603.0,315.0,487.8
craft,0.562,The Colorado Richly Annotated Full Text Corpus (CRAFT) is a manually annotated corpus consisting of 67 full-text biomedical journal articles from the PubMed Central Open Access Subset.,"['Ontology and terminology', 'Natural language processing', 'Data submission, annotation and curation']",['Ontology'],0.0,http://bionlp-corpora.sourceforge.net/CRAFT/index.shtml,https://bio.tools/craft,603.0,315.0,487.8
anddigest,0.562,"A web-based module of ANDSystem for the search of knowledge in the scientific literature.
The rapid growth of scientific literature has rendered the task of finding relevant information one of the critical problems in almost any research. Search engines, like Google Scholar, Web of Knowledge, PubMed, Scopus, and others, are highly effective in document search; however, they do not allow knowledge extraction. In contrast to the search engines, text-mining systems provide extraction of knowledge with representations in the form of semantic networks. Of particular interest are tools performing a full cycle of knowledge management and engineering, including automated retrieval, integration, and representation of knowledge in the form of semantic networks, their visualization, and analysis. STRING, Pathway Studio, MetaCore, and others are well-known examples of such products","['Molecular interactions, pathways and networks', 'Natural language processing', 'Machine learning', 'Data mining', 'Ontology and terminology']",[],0.0,,https://bio.tools/anddigest,603.0,315.0,487.8
acela,0.562,Tool that aims to reduce the human effort required to produce a gold standard corpus of named entity (NE) annotations.,"['Molecular interactions, pathways and networks', 'Natural language processing', 'Machine learning', 'Human biology', 'Ontology and terminology']",['Web application'],7.0,,https://bio.tools/acela,603.0,389.0,517.4000000000001
myminer,0.550,MyMiner is a free and user-friendly text annotation tool aimed to assist in carrying out the main biocuration tasks and to provide labelled data for the development of text mining systems.,"['Data mining', 'Biology']",['Command-line tool'],18.0,http://www.mybiosoftware.com/myminer-text-mining-tools-for-biology.html,https://bio.tools/myminer,599.0,430.0,531.4
ffpred,0.500,"Using a machine learning approach, FFPred server predicts protein function using protein features scanned against a library of over 300 Gene Ontology annotation terms. FFPred has the capacity to annotate distant homologues and orphan protein sequences.","['Function analysis', 'Machine learning', 'Protein sites, features and motifs', 'Proteins', 'Ontology and terminology']",['Web application'],36.0,,https://bio.tools/ffpred,598.0,472.0,547.6
wego2.0,0.500,"Web Gene Ontology Annotation Plot. Visualizing, comparing and plotting GO (Gene Ontology) annotation results.","['Ontology and terminology', 'Literature and language']",['Web application'],3.0,,https://bio.tools/wego2.0,598.0,364.0,504.4
wego,0.500,Web Gene Ontology Annotation Plot (WEGO) helps visualize the annotation of sets of genes.  WEGO can compare gene annotation datasets by plotting the distribution of gene ontology (GO) annotation results into a histogram.,['Ontology and terminology'],['Web application'],1650.0,,https://bio.tools/wego,598.0,587.0,593.6
crowdgo,0.500,"A wisdom of the crowd-based Gene Ontology annotation tool | Abstract Motivation Protein function prediction tools vary widely in their methodologies, resulting in different sets of GO terms being correctly predicted. Ideally, multiple tools are combined to achieve a higher recall of GO terms while increasing precision. Results CrowdGO combines input predictions from any number of tools and combines them based on the Gene Ontology Directed Acyclic Graph. Using each GO terms information content, the semantic similarity between GO predictions of different tools, and a Support Vector Machine model, it achieves improved precision and recall compared to each of the tools separately (Figure 1). Availability CrowdGO can be found at https: gitlab.com mreijnders CrowdGO","['Ecology', 'Ontology and terminology']",['Command-line tool'],0.0,,https://bio.tools/crowdgo,598.0,315.0,484.8
noa,0.500,"The NOA (Network Ontology Analysis) plugin for Cytoscape implements the NOA algorithm for network-based enrichment analysis, which extends Gene Ontology annotations to network links, or edges.","['Systems biology', 'Ontology and terminology']",['Plug-in'],93.0,http://www.mybiosoftware.com/noa-1-1-cytoscape-plugin-for-network-ontology-analysis.html,https://bio.tools/noa,598.0,515.0,564.8
komenti,0.500,"A semantic text mining framework.

Komenti is a tool for semantic query, annotation, and analysis of text using ontologies.","['Workflows', 'Ontology and terminology', 'Natural language processing']",['Command-line tool'],0.0,,https://bio.tools/komenti,598.0,315.0,484.8
locdb,0.500,"Manually curated database with experimental annotations for the subcellular localizations of proteins in Homo sapiens (HS, human) and Arabidopsis thaliana (AT, thale cress). Each database entry contains the experimentally derived localization in Gene Ontology (GO) terminology, the experimental annotation of localization, localization predictions by state-of-the-art methods and, where available, the type of experimental information.","['Ontology and terminology', 'Data submission, annotation and curation', 'Proteins']",['Database portal'],24.0,,https://bio.tools/locdb,598.0,446.0,537.2
flytf,0.500,"Database of computationally predicted and/or experimentally verified site-specific transcription factors (TFs) in the fruit fly Drosophila melanogaster. This database contains information on the manual curation of 1052 FlyBase identifiers, which are putative site-specific transcription factors, based on FlyBase/Gene Ontology annotation or the DBD Transcription Factor Database.","['Gene expression', 'Ontology and terminology', 'Gene transcripts', 'Transcription factors and regulatory sites']",['Database portal'],44.0,,https://bio.tools/flytf,598.0,483.0,552.0
