Tool,keywords_score,Description,Topics,Type,Citations,URL,bio.tools URL,keyword_rank,citations_rank,Score
ngly1,0.900,"Structured Reviews for Data and Knowledge Driven Research | The NGLY1 Deficiency Knowledge Graph | This is the repository for the NGLY1 Deficiency Knowledge Graph, the reasoning context to support hypothesis discovery for NGLY1 Deficiency-CDDG (DOID:0060728) research. The user can navigate the knowledge in the graph in the Neo4j Browser website. This knowledge graph is a structured review around the research question what is the mechanism underpinning the NGLY1-AQP1 regulation association and explaining the reduced transcriptomic expression of multiple Aquaporins in NGLY1 deficient cells?. The graph v3.2 is the first deployed in the Wikibase application for community contribution and curation","['Molecular interactions, pathways and networks', 'Ontology and terminology', 'Machine learning']",['Command-line tool'],0.0,https://github.com/SuLab/ngly1-graph,https://bio.tools/ngly1,380.0,215.0,314.0
ontokin,0.900,"An Ontology for Chemical Kinetic Reaction Mechanisms.

A knowledge-graph built with the integration of semantic technologies and software agents for enhancing the experience of chemists in querying chemical kinetic reaction mechanisms. This User Interface (UI) demonstrates the query capability of OntoKin","['Literature and language', 'Small molecules', 'Enzymes', 'Chemistry', 'Ontology and terminology']",['Web application'],0.0,http://theworldavatar.com/ontokin,https://bio.tools/ontokin,380.0,215.0,314.0
do,0.850,"The Disease Ontology (DO) has been developed as a standardized ontology for human disease with the purpose of providing the biomedical community with consistent, reusable and sustainable descriptions of human disease terms, phenotype characteristics and related medical vocabulary disease concepts.","['Pathology', 'Molecular interactions, pathways and networks', 'Rare diseases', 'Medical informatics', 'Ontology and terminology']","['Web application', 'Database portal']",436.0,,https://bio.tools/do,378.0,341.0,363.2
hio,0.850,"A Tool for Unifying Hearing Impairment Knowledge to Enhance Collaborative Research.

The Hearing Impairment Ontology (HIO) is a collaboratively developed resource by a group of experts in different aspects of hearing impairment (HI) to provide a common controlled HI terminology and concepts. The HIO will allow researchers and clinicians alike to readily access standardised HI-related knowledge in a single location and promote collaborations and HI information sharing, including epidemiological, socio-environmental, biomedical, genetic and phenotypic information. It is worth noting, this ontology provides an illustration of the adaptability of the Sickle Cell Disease Ontology framework for use in developing a disease-specific ontology.","['Pathology', 'Transcription factors and regulatory sites', 'Public health and epidemiology', 'Genotype and phenotype', 'Ontology and terminology']",['Command-line tool'],0.0,https://github.com/hiodev/hi-ontology,https://bio.tools/hio,378.0,215.0,312.79999999999995
ohd,0.850,"Structuring, reuse and analysis of electronic dental data using the Oral Health and Disease Ontology.

We need a standardized approach that enables efficient access to information in Electronic Dental Records, and integration across different dental care providers and EHR systems.","['Biological databases', 'Dentistry', 'Medicines research and development', 'Medical informatics', 'Ontology and terminology']",['Library'],0.0,https://github.com/oral-health-and-disease-ontologies/ohd-ontology/blob/master/src/analysis/survival.r,https://bio.tools/ohd,378.0,215.0,312.79999999999995
doc2hpo,0.850,Web application for efficient and accurate Human Phenotype Ontology (HPO) concept curation.,"['Genotype and phenotype', 'Ontology and terminology', 'Natural language processing']",['Web application'],2.0,https://github.com/stormliucong/doc2hpo,https://bio.tools/doc2hpo,378.0,236.0,321.2
amigo 2,0.850,The GO Consortium GO browser and search engine.,['Ontology and terminology'],['Web application'],743.0,,https://bio.tools/amigo 2,378.0,349.0,366.4
plangexq,0.850,PlanGexQ is a user-friendly interactive tool for the curation and annotation of planarian morphologies and gene expression patterns in a centralized database. PlanGexQ allows any user to define reference morphologies using mathematical graphs and a drag-and-drop interface. Gene expression pattern images can be uploaded to the program and then registered into the reference morphologies. Annotations with terms from the planarian anatomy ontology are autommatically created by analyzing the gene expression patterns and their textual descriptions. PlanGexQ represents a complete methodology for centralizing with formal and annotated descriptions the morphologies and gene expression patterns of planarian worms.,"['Mathematics', 'Genotype and phenotype', 'Model organisms', 'Ontology and terminology', 'Gene expression']",[],0.0,,https://bio.tools/plangexq,378.0,215.0,312.79999999999995
gene ontology (go),0.850,"The Gene Ontology Consortium continues to develop, maintain and use a set of structured, controlled vocabularies for the annotation of genes, gene products and sequences. Several new relationship types have been introduced and used, along with existing relationships, to create links between and within the domains. Gene product annotation continues to increase both in the number of total annotations and in species coverage. Tools have seen major improvements in functionality, speed and usage.","['Gene structure', 'Small molecules', 'Zoology', 'Ontology and terminology', 'Gene expression']",['Database portal'],483.0,,https://bio.tools/gene ontology (go),378.0,342.0,363.6
gocats,0.850,Advances in gene ontology utilization improve statistical power of annotation enrichment | Welcome to GOcats’ documentation! — GOcats 1.1.5 documentation,"['Mapping', 'Ontology and terminology', 'Microarray experiment']",['Command-line tool'],2.0,,https://bio.tools/gocats,378.0,236.0,321.2
