name	description	type	topic	input	output
treeio	Base classes and functions for parsing and exporting phylogenetic trees. This package supports parsing analysis findings from commonly used software packages, allows linking external data to phylogeny and merging tree data obtained from different sources. It also supports exporting phylogenetic tree with heterogeneous associated data to a single tree file.	['Library']	[{'term': 'Phylogenetics', 'uri': 'http://edamontology.org/topic_3293'}]	[]	[]
workflow4metabolomics	First fully open-source and collaborative online platform for computational metabolomics. It includes preprocessing, normalization, quality control, statistical analysis of LC/MS, FIA-MS, GC/MS and NMR data.	['Bioinformatics portal']	[{'term': 'Systems biology', 'uri': 'http://edamontology.org/topic_2259'}, {'term': 'Metabolomics', 'uri': 'http://edamontology.org/topic_3172'}, {'term': 'Computational biology', 'uri': 'http://edamontology.org/topic_3307'}]	[{'data': {'term': 'mass spectrum', 'uri': 'http://edamontology.org/data_0943'}, 'format': {'term': 'mzml', 'uri': 'http://edamontology.org/format_3244'}}]	[{'data': {'term': 'mass spectrum', 'uri': 'http://edamontology.org/data_0943'}, 'format': {'term': 'mzml', 'uri': 'http://edamontology.org/format_3244'}}]
globalfungi	"User interface to data from high-throughput sequencing studies of fungal
communities across terrestrial biomes. Includes sequencing data, sample
locations, sample metadata."	['Database portal']	[{'term': 'Agricultural science', 'uri': 'http://edamontology.org/topic_3810'}, {'term': 'Biodiversity', 'uri': 'http://edamontology.org/topic_3050'}]	[{'data': {'term': 'nucleic acid sequence', 'uri': 'http://edamontology.org/data_2977'}, 'format': {'term': 'fasta', 'uri': 'http://edamontology.org/format_1929'}}]	[{'data': {'term': 'nucleic acid sequence', 'uri': 'http://edamontology.org/data_2977'}, 'format': {'term': 'fasta', 'uri': 'http://edamontology.org/format_1929'}}]
amtdb	This is the place where you can find an updated list of the published mitochondrial sequences coming from the ancient DNA samples (aDNA). The main interest of our database lies in the anatomically modern Homo sapiens samples, ranging from the late Paleolithic to roughly Iron Age times, focusing on an Euroasian geographical area. We provide both the mtDNA sequences (in FASTA format), and the metadata for the samples (IDs, dates, geolocation, site, culture, mtDNA haplogroup etc., available to download in a tab-delimited text file).	['Database portal']	[{'term': 'Biology', 'uri': 'http://edamontology.org/topic_3070'}]	[{'data': {'term': 'nucleic acid sequence', 'uri': 'http://edamontology.org/data_2977'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]	[{'data': {'term': 'nucleic acid sequence', 'uri': 'http://edamontology.org/data_2977'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]
causalbuilder	The causalBuilder is a prototype web application for the curation of molecular interaction causal statements. This interface takes advantage of the VSM framework (https://github.com/vsmjs/) to generate customized VSM-templates for the annotation of specific causal statements. The causal statements generated are compatible with the MI2CAST (Minimum Information about a Molecular Interaction Causal Statement) checklist that is available at https://github.com/MI2CAST/MI2CAST.	['Web application']	[{'term': 'Molecular interactions, pathways and networks', 'uri': 'http://edamontology.org/topic_0602'}]	[{'data': {'term': 'text', 'uri': 'http://edamontology.org/data_3671'}}]	[{'data': {'term': 'text', 'uri': 'http://edamontology.org/data_3671'}}]
metfamily	Web application designed for the identification of regulated metabolite families. This is possible on the basis of metabolite profiles for a set of MS¹ features as well as one MS/MS spectrum for each MS¹ feature. Group-discriminating MS¹ features are identified using a PCA of metabolite profiles and metabolite families are identified using a HCA of MS/MS spectra. Regulated metabolite families are identified by considering group-discriminating MS¹ features from corporate metabolite families.	['Web application']	[{'term': 'Metabolomics', 'uri': 'http://edamontology.org/topic_3172'}]	[{'data': {'term': 'mass spectrometry spectra', 'uri': 'http://edamontology.org/data_0943'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]	[{'data': {'term': 'mass spectrometry spectra', 'uri': 'http://edamontology.org/data_0943'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]
fairdatapoint	FAIRDataPoint is a REST api for creating, storing and servering FAIR metadata. The metadata contents are in this api are generated semi-automatically according to the FAIR Data Point software specification document. In the current version of api we support GET, POST and PATCH requests.	['Web API', 'Web application']	[{'term': 'Informatics', 'uri': 'http://edamontology.org/topic_0605'}, {'term': 'Ontology and terminology', 'uri': 'http://edamontology.org/topic_0089'}]	[{'data': {'term': 'text data', 'uri': 'http://edamontology.org/data_2526'}, 'format': {'term': 'n-triples', 'uri': 'http://edamontology.org/format_3256'}}]	[{'data': {'term': 'text data', 'uri': 'http://edamontology.org/data_2526'}, 'format': {'term': 'n-triples', 'uri': 'http://edamontology.org/format_3256'}}]
ciona robusta anatomy and development ontology	The first ontology describing the anatomy and the development of Ciona robusta, based on the Hotta developmental table.	['Ontology']	[{'term': 'Developmental biology', 'uri': 'http://edamontology.org/topic_3064'}]	[{'data': {'term': 'bibliography', 'uri': 'http://edamontology.org/data_3505'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]	[{'data': {'term': 'bibliography', 'uri': 'http://edamontology.org/data_3505'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]
faf-drugs	Process compound collections via simple absorption, distribution, metabolism, excretion and toxicity (ADME/tox) filtering rules to aid in the drug discovery process.	['Web application']	[{'term': 'Drug discovery', 'uri': 'http://edamontology.org/topic_3336'}]	[{'data': {'term': 'small molecule structure', 'uri': 'http://edamontology.org/data_1463'}, 'format': {'term': 'sdf', 'uri': 'http://edamontology.org/format_3814'}}]	[{'data': {'term': 'small molecule structure', 'uri': 'http://edamontology.org/data_1463'}, 'format': {'term': 'sdf', 'uri': 'http://edamontology.org/format_3814'}}]
secstrannotator	Annotation of secondary structure elements in proteins.	['Web API']	[{'term': 'Structural biology', 'uri': 'http://edamontology.org/topic_1317'}]	[{'data': {'term': 'protein structure', 'uri': 'http://edamontology.org/data_1460'}, 'format': {'term': 'pdb database entry format', 'uri': 'http://edamontology.org/format_1475'}}]	[{'data': {'term': 'protein structure', 'uri': 'http://edamontology.org/data_1460'}, 'format': {'term': 'pdb database entry format', 'uri': 'http://edamontology.org/format_1475'}}]
