name	description	type	topic	input	output
dquest	DQueST is a web applciation for reducing information overload for trial seekers using dynamic questionnaires.	['Web application']	[{'term': 'Preclinical and clinical studies', 'uri': 'http://edamontology.org/topic_3379'}, {'term': 'Natural language processing', 'uri': 'http://edamontology.org/topic_0218'}, {'term': 'Medical informatics', 'uri': 'http://edamontology.org/topic_3063'}]	[]	[]
ontokin	"An Ontology for Chemical Kinetic Reaction Mechanisms.

A knowledge-graph built with the integration of semantic technologies and software agents for enhancing the experience of chemists in querying chemical kinetic reaction mechanisms. This User Interface (UI) demonstrates the query capability of OntoKin"	['Web application']	[{'term': 'Ontology and terminology', 'uri': 'http://edamontology.org/topic_0089'}, {'term': 'Chemistry', 'uri': 'http://edamontology.org/topic_3314'}, {'term': 'Enzymes', 'uri': 'http://edamontology.org/topic_0821'}, {'term': 'Literature and language', 'uri': 'http://edamontology.org/topic_3068'}, {'term': 'Small molecules', 'uri': 'http://edamontology.org/topic_0154'}]	[]	[]
nlimed	Natural Language Interface for Model Entity Discovery in Biosimulation Model Repositories | This project is to convert user query to SPARQL in the Physiome Model Repository. The information looking by users usually is model entities | Natural Language Interface for Model Entity Discovery (NLIMED) is an interface to search model entities (i.e. flux of sodium across the basolateral plasma membrane, the concentration of potassium in the portion of tissue fluid) in the biosimulation models in repositories. The interface utilises the RDF inside biosimulation models and metadata from BioPortal. Currently, the interface can retrieve model entities from the Physiome Model Repository (PMR, https://models.physiomeproject.org) and the BioModels (https://www.ebi.ac.uk/biomodels/)	['Command-line tool']	[{'term': 'Natural language processing', 'uri': 'http://edamontology.org/topic_0218'}, {'term': 'Ontology and terminology', 'uri': 'http://edamontology.org/topic_0089'}, {'term': 'Bioengineering', 'uri': 'http://edamontology.org/topic_3398'}]	[]	[]
vist	a Variant-Information Search Tool for precision oncology | The Variant Information Search Tool developed @ WBI	[]	[{'term': 'Oncology', 'uri': 'http://edamontology.org/topic_2640'}, {'term': 'Personalised medicine', 'uri': 'http://edamontology.org/topic_3577'}, {'term': 'Preclinical and clinical studies', 'uri': 'http://edamontology.org/topic_3379'}]	[]	[]
eventepi	EventEpi - A Natural Language Processing Framework for Event-Based Surveillance  - is a tool to extract the most important entites from a epidemiological text and to analyze them.	['Library']	[{'term': 'Public health and epidemiology', 'uri': 'http://edamontology.org/topic_3305'}, {'term': 'Natural language processing', 'uri': 'http://edamontology.org/topic_0218'}, {'term': 'Microbiology', 'uri': 'http://edamontology.org/topic_3301'}]	[]	[]
evntextrc	"EvntExtrc is a biological event extractor on biomedical literature |
Context awareness and embedding for biomedical event extraction"	['Library', 'Command-line tool']	[{'term': 'Natural language processing', 'uri': 'http://edamontology.org/topic_0218'}, {'term': 'Biomedical science', 'uri': 'http://edamontology.org/topic_3344'}, {'term': 'Molecular interactions, pathways and networks', 'uri': 'http://edamontology.org/topic_0602'}]	[]	[]
etm-db	Iintegrated Ethiopian traditional herbal medicine and phytochemicals database | ETM-DB is a free, online relational database containing Ethiopian herbal medicine, related compounds and target gene/proteins. Ethiopia is endowed with an affluence of botanical remedies that have proven useful over a long time, especially in the rural areas where modern health care is much less accessible. It is estimated that about 80% of the Ethiopian population, predominantly in the rural areas, use traditional medicine. There are about 6,500-7,500 plant species in Ethiopia, of which an estimated 12% are endemic to Ethiopia	['Database portal']	[{'term': 'Endocrinology and metabolism', 'uri': 'http://edamontology.org/topic_3407'}, {'term': 'Complementary medicine', 'uri': 'http://edamontology.org/topic_3423'}, {'term': 'Critical care medicine', 'uri': 'http://edamontology.org/topic_3403'}]	[]	[]
thbp	Mapping anatomical related entities to human body parts based on wikipedia in discharge summaries | *: Background Consisting of dictated free-text documents such as discharge summaries, medical narratives are widely used in medical natural language processing. Relationships between anatomical entities and human body parts are crucial for building medical text mining applications. To achieve this, we establish a mapping system consisting of a Wikipedia-based scoring algorithm and a named entity normalization method (NEN). The mapping system makes full use of information available on Wikipedia, which is a comprehensive Internet medical knowledge base	[]	[{'term': 'Natural language processing', 'uri': 'http://edamontology.org/topic_0218'}, {'term': 'Ontology and terminology', 'uri': 'http://edamontology.org/topic_0089'}, {'term': 'Anatomy', 'uri': 'http://edamontology.org/topic_3067'}]	[]	[]
cui2vec	A R pacakge cui2vec, which provides code for fitting embeddings to your own co-occurrence data.	['Library']	[{'term': 'Machine learning', 'uri': 'http://edamontology.org/topic_3474'}, {'term': 'Natural language processing', 'uri': 'http://edamontology.org/topic_0218'}, {'term': 'Medical informatics', 'uri': 'http://edamontology.org/topic_3063'}, {'term': 'Medicine', 'uri': 'http://edamontology.org/topic_3303'}]	[]	[]
medextractr	A medication extraction algorithm for electronic health records using the R programming language | Objective: We developed medExtractR, a natural language processing system to extract medication dose and timing information from clinical notes. Our system facilitates creation of medication-specific research datasets from electronic health records. Materials and Methods: Written using the R programming language, medExtractR combines lexicon dictionaries and regular expression patterns to identify relevant medication information ('drug entities'). The system is designed to extract particular medications of interest, rather than all possible medications mentioned in a clinical note. MedExtractR was developed on notes from Vanderbilt University's Synthetic Derivative, using two medications (tacrolimus and lamotrigine) prescribed with varying complexity, and with a third drug (allopurinol) used for testing generalizability of results	['Library']	[{'term': 'Natural language processing', 'uri': 'http://edamontology.org/topic_0218'}, {'term': 'Pharmacology', 'uri': 'http://edamontology.org/topic_0202'}, {'term': 'Medical imaging', 'uri': 'http://edamontology.org/topic_3384'}]	[]	[]
matscholar	Named Entity Recognition and Normalization Applied to Large-Scale Information Extraction from the Materials Science Literature | Public API for the Materials Scholar database | matscholar (Materials Scholar) is a Python library for materials-focused natural language processing (NLP). It is maintained by a team of researchers at UC Berkeley and Lawrence Berkeley National Laboratory as part of a project funded by the Toyota Research Institute	['Command-line tool']	[{'term': 'Natural language processing', 'uri': 'http://edamontology.org/topic_0218'}, {'term': 'Ontology and terminology', 'uri': 'http://edamontology.org/topic_0089'}, {'term': 'Chemistry', 'uri': 'http://edamontology.org/topic_3314'}]	[]	[]
