Tool,keywords_score,Description,Topics,Operations,Inputs,Outputs,Type,Citations,URL,biotoolsID,License,keyword_rank,citations_rank,comp_score
BioBERT,0.750,"A pre-trained biomedical language representation model for biomedical text mining | BioBERT: a pre-trained biomedical language representation model | This repository provides pre-trained weights of BioBERT, a language representation model for biomedical domain, especially designed for biomedical text mining tasks such as biomedical named entity recognition, relation extraction, question answering, etc. Please refer to our paper BioBERT: a pre-trained biomedical language representation model for biomedical text mining for more details | This repository provides fine-tuning codes of BioBERT, a language representation model for biomedical domain, especially designed for biomedical text mining tasks such as biomedical named entity recognition, relation extraction, question answering, etc. Please refer to our paper BioBERT: a pre-trained biomedical language representation model for biomedical text mining for more details. This project is done by DMIS-Lab","['Natural language processing', 'Ontology and terminology', 'Medicine']","['Named-entity and concept recognition', 'Relation extraction']",[],[],[],174.0,https://github.com/dmis-lab/biobert,BioBERT,,647.0,567.0,615.0
HPO2GO,0.688,"Prediction of human phenotype ontology term associations using cross ontology annotation co-occurrences.

Mapping between HPO and GO terms.

If you find HPO2GO useful, please consider citing this publication:.

Mapping between Human Phenotype Ontology (HPO) and Gene Ontology (GO) terms for the prediction of gene/protein - function - phenotype - disease associations.

In this study, a novel approach is proposed for the identification of relationships between biomedical entities by automatically mapping phenotypic abnormality defining HPO terms with biomolecular function defining GO terms, where each association indicates the occurrence of the abnormality due to the loss of the biomolecular function expressed by the corresponding GO term","['Protein interactions', 'Genotype and phenotype', 'Pathology', 'Gene expression', 'Ontology and terminology']","['Mapping', 'Named-entity and concept recognition', 'Protein function prediction']",[],[],['Command-line tool'],0.0,,HPO2GO,GPL-3.0,646.0,225.0,477.59999999999997
PPR-SSM,0.688,"personalized PageRank and semantic similarity measures for entity linking.

BACKGROUND:Biomedical literature concerns a wide range of concepts, requiring controlled vocabularies to maintain a consistent terminology across different research groups. However, as new concepts are introduced, biomedical literature is prone to ambiguity, specifically in fields that are advancing more rapidly, for example, drug design and development. Entity linking is a text mining task that aims at linking entities mentioned in the literature to concepts in a knowledge base. For example, entity linking can help finding all documents that mention the same concept and improve relation extraction methods. Existing approaches focus on the local similarity of each entity and the global coherence of all entities in a document, but do not take into account the semantics of the domain. RESULTS:We propose a method, PPR-SSM, to link entities found in documents to concepts from domain-specific ontologies","['Natural language processing', 'Imaging', 'Data mining', 'Genotype and phenotype', 'Ontology and terminology']","['Editing', 'Named-entity and concept recognition', 'Text annotation', 'Relation extraction']",[],[],[],2.0,,PPR-SSM,,646.0,305.0,509.59999999999997
BELIEF,0.625,BELIEF (Biological Expression Language Information Extraction WorkFlow) is a semi-automated workflow for BEL network creation. It embeds an information extraction workflow with state-of-the-art named entity recognition (NER) and relation extraction (RE) methods.,"['Natural language processing', 'Genotype and phenotype', 'Machine learning', 'Workflows', 'Ontology and terminology']","['Data retrieval', 'Named-entity and concept recognition', 'Relation extraction']",[],[],['Web application'],2.0,,belief,,644.0,305.0,508.4
matscholar,0.625,Named Entity Recognition and Normalization Applied to Large-Scale Information Extraction from the Materials Science Literature | Public API for the Materials Scholar database | matscholar (Materials Scholar) is a Python library for materials-focused natural language processing (NLP). It is maintained by a team of researchers at UC Berkeley and Lawrence Berkeley National Laboratory as part of a project funded by the Toyota Research Institute,"['Natural language processing', 'Ontology and terminology', 'Chemistry']","['Named-entity and concept recognition', 'Literature search', 'Deposition']",[],[],['Command-line tool'],18.0,https://github.com/materialsintelligence/matscholar,matscholar,MIT,644.0,440.0,562.4
CollaboNet,0.625,Collaboration of deep neural networks for biomedical named entity recognition.,"['Natural language processing', 'Ontology and terminology', 'Machine learning']","['Named-entity and concept recognition', 'Relation extraction']",[],[],['Command-line tool'],22.0,,CollaboNet,MIT,644.0,452.0,567.2
Vapur,0.625,"A Search Engine to Find Related Protein.

Vapur is an online entity-oriented search engine for the COVID-19 anthology. Vapur is empowered with a semantic inverted index that is created through named entity recognition and relation extraction on CORD-19 abstracts.

In order to run scripts from scratch, please follow these:.

Enter a chemical or protein/gene and let Vapur find related bio-molecules in 150,000 COVID-19 publications!.","['Natural language processing', 'Enzymes', 'Ontology and terminology', 'Pathology']","['Data retrieval', 'Named-entity and concept recognition', 'Literature search', 'Relation extraction']",[],[],[],0.0,https://github.com/boun-tabi/vapur,vapur,,644.0,225.0,476.4
QTL TableMiner++(QTM),0.575,It is a command-line tool to retrieve and semantically annotate results obtained from QTL mapping experiments. It takes full-text articles from the Europe PMC repository as input and outputs the extracted QTLs into a relational database (SQLite) and text file (CSV).,['Ontology and terminology'],['Gene expression QTL analysis'],[],[],['Command-line tool'],4.0,,qtm,Apache-2.0,640.0,354.0,525.6
Calchas,0.575,"A web based framework that takes advantage of domain specific ontologies, and Natural Language Processing, aiming to empower exploration of biomedical resources via semantic-based querying and search. The NLP engine analyzes the input free-text query and translates it into targeted queries with terms from the underlying ontology. Each query is passed to the semantically-annotated tools repository, and based on similarity matches, it ranks the available resources.","['Natural language processing', 'Bioinformatics', 'Ontology and terminology', 'Medical informatics']","['Query and retrieval', 'Text annotation', 'Service composition', 'Service discovery']","[{'data': {'term': 'text data', 'uri': 'http://edamontology.org/data_2526'}, 'format': {'term': 'annotated text format', 'uri': 'http://edamontology.org/format_3780'}}]","[{'data': {'term': 'tool identifier', 'uri': 'http://edamontology.org/data_0977'}, 'format': {'term': 'plain text format (unformatted)', 'uri': 'http://edamontology.org/format_1964'}}]",['Web application'],19.0,http://calchas.ics.forth.gr,calchas,,640.0,443.0,561.2
ontology extension,0.562,"Combining lexical and context features for automatic ontology extension.

This repository contains script which were used to build and train the prediction models together with the scripts for evaluating their performance.","['Infectious disease', 'Rare diseases', 'Machine learning', 'Workflows', 'Ontology and terminology']","['Dimensionality reduction', 'Named-entity and concept recognition', 'Text annotation']",[],[],['Command-line tool'],1.0,,ontology-extension,BSD-2-Clause,638.0,271.0,491.20000000000005
